Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp,Previous_Tm,Previous_Opp,Previous_Streak
20231222,GSW,L,118,129,5,22,-1,WAS,False,106.63,0.55,14.3,20.97,0.22,112.03,95.37,0.55,9.53,22.67,0.21,121.83,"['Jordan Poole', 'Tyus Jones', 'Kyle Kuzma', 'Daniel Gafford', 'Deni Avdija']","['Bilal Coulibaly', 'Corey Kispert', 'Mike Muscala', 'Landry Shamet', 'Anthony Gill', 'Ryan Rollins', 'Jared Butler', 'Patrick Baldwin Jr.', 'Eugene Omoruyi']","['Brandin Podziemski', 'Jonathan Kuminga', 'Klay Thompson', 'Stephen Curry', 'Kevon Looney']","['Chris Paul', 'Trayce Jackson-Davis', 'Dario Šarić', 'Moses Moody', 'Cory Joseph', 'Gui Santos', 'Lester Quinones', 'Usman Garuba', 'Jerome Robinson']",15.11,12.51,3.78,4.08,122.3,125.7,
20231222,SAC,L,105,120,14,13,-2,PHO,False,98.1,0.5,12.63,31.03,0.23,111.77,98.73,0.6,10.33,22.9,0.23,128.2,"['Devin Booker', 'Kevin Durant', 'Grayson Allen', 'Eric Gordon', 'Drew Eubanks']","['Udoka Azubuike', 'Saben Lee', 'Nassir Little', 'Jordan Goodwin', 'Chimezie Metu', 'Yuta Watanabe', 'Bol Bol', 'Keita Bates-Diop']","['Harrison Barnes', 'Domantas Sabonis', 'Keegan Murray', ""De'Aaron Fox"", 'Kevin Huerter']","['Malik Monk', 'Keon Ellis', 'Trey Lyles', 'JaVale McGee', 'Sasha Vezenkov', 'Juan Toscano-Anderson', 'Chris Duarte', 'Kessler Edwards', 'Davion Mitchell']",13.13,18.58,2.38,3.3,117.3,125.7,
20231222,TOR,W,121,111,19,8,3,PHI,False,97.5,0.59,10.5,18.33,0.24,124.97,95.77,0.55,10.73,29.97,0.08,117.23,"['Tyrese Maxey', 'Tobias Harris', 'Joel Embiid', 'Marcus Morris', 'Kelly Oubre Jr.']","['Robert Covington', 'Danuel House Jr.', 'Paul Reed', 'Furkan Korkmaz', 'KJ Martin', 'Javonte Smart', 'Jaden Springer', 'Patrick Beverley', ""De'Anthony Melton""]","['Pascal Siakam', 'OG Anunoby', 'Scottie Barnes', 'Dennis Schröder', 'Jakob Poeltl']","['Gary Trent Jr.', 'Precious Achiuwa', 'Otto Porter Jr.', 'Malachi Flynn', 'Jalen McDaniels', 'Gradey Dick', 'Chris Boucher', 'Garrett Temple', 'Thaddeus Young']",15.47,11.15,4.15,3.82,115.0,105.3,
20231222,DEN,L,117,122,13,14,-1,BRK,False,97.07,0.53,11.57,36.63,0.13,120.27,94.77,0.56,9.3,25.0,0.25,122.87,"['Cam Thomas', 'Spencer Dinwiddie', 'Mikal Bridges', 'Nic Claxton', 'Cameron Johnson']","['Dorian Finney-Smith', ""Royce O'Neale"", 'Dennis Smith Jr.', ""Day'Ron Sharpe"", 'Harry Giles', 'Trendon Watford', 'Jalen Wilson']","['Jamal Murray', 'Nikola Jokić', 'Michael Porter Jr.', 'Aaron Gordon', 'Kentavious Caldwell-Pope']","['Peyton Watson', 'Christian Braun', 'Reggie Jackson', 'Julian Strawther', 'Zeke Nnaji', 'DeAndre Jordan', 'Justin Holiday', 'Braxton Key', 'Jalen Pickett', 'Hunter Tyson']",13.05,14.06,5.06,4.46,108.3,117.3,
20231222,MIA,L,113,122,12,15,-1,ATL,False,99.1,0.61,12.13,25.63,0.26,128.77,98.97,0.58,11.43,24.07,0.24,122.93,"['Trae Young', 'Saddiq Bey', 'Dejounte Murray', 'Clint Capela', 'Garrison Mathews']","['Bogdan Bogdanović', 'Onyeka Okongwu', 'Patty Mills', 'Wesley Matthews', 'Bruno Fernando', 'Trent Forrest']","['Bam Adebayo', 'Jaime Jaquez Jr.', 'Caleb Martin', 'Tyler Herro', 'Kyle Lowry']","['Josh Richardson', 'Duncan Robinson', 'Kevin Love', 'Haywood Highsmith', 'Thomas Bryant', 'Jamal Cain', 'Orlando Robinson']",14.81,10.05,6.63,7.12,117.7,117.3,
20231221,WAS,L,117,118,7,19,-1,POR,False,98.5,0.53,10.47,27.77,0.19,117.8,106.47,0.5,11.27,31.43,0.12,111.1,"['Anfernee Simons', 'Deandre Ayton', 'Jerami Grant', 'Malcolm Brogdon', 'Toumani Camara']","['Matisse Thybulle', 'Scoot Henderson', 'Jabari Walker', 'Duop Reath', 'Moses Brown', 'Skylar Mays', 'Kris Murray', 'Ish Wainright']","['Kyle Kuzma', 'Tyus Jones', 'Deni Avdija', 'Jordan Poole', 'Daniel Gafford']","['Corey Kispert', 'Bilal Coulibaly', 'Mike Muscala', 'Danilo Gallinari', 'Anthony Gill', 'Patrick Baldwin Jr.', 'Jared Butler', 'Eugene Omoruyi', 'Ryan Rollins']",12.93,14.89,4.85,4.46,117.3,120.0,
20231221,MEM,L,103,116,14,12,-3,IND,False,103.07,0.54,12.17,30.43,0.19,117.1,96.07,0.58,14.6,29.8,0.28,123.1,"['Tyrese Haliburton', 'Myles Turner', 'Buddy Hield', 'Obi Toppin', 'Bruce Brown']","['Aaron Nesmith', 'Bennedict Mathurin', 'Andrew Nembhard', 'Isaiah Jackson', 'T.J. McConnell', 'James Johnson', 'Jordan Nwora']","['Desmond Bane', 'Vince Williams Jr.', 'Ja Morant', 'Jaren Jackson Jr.', 'Bismack Biyombo']","['Santi Aldama', 'John Konchar', 'Xavier Tillman Sr.', 'Ziaire Williams', 'Jacob Gilyard', 'David Roddy', 'Derrick Rose']",9.62,10.98,9.41,4.39,105.0,125.0,
20231221,CHI,L,95,114,4,22,-16,SAS,False,105.47,0.56,11.77,19.57,0.17,116.43,96.7,0.55,10.7,19.3,0.23,118.33,"['Jeremy Sochan', 'Keldon Johnson', 'Devin Vassell', 'Malaki Branham', 'Victor Wembanyama']","['Zach Collins', 'Tre Jones', 'Doug McDermott', 'Cedi Osman', 'Julian Champagnie', 'Blake Wesley', 'Sidy Cissoko', 'Sandro Mamukelashvili', ""Devonte' Graham""]","['Coby White', 'DeMar DeRozan', 'Patrick Williams', 'Nikola Vučević', 'Alex Caruso']","['Ayo Dosunmu', 'Jevon Carter', 'Andre Drummond', 'Dalen Terry', 'Julian Phillips', 'Terry Taylor', 'Torrey Craig']",13.21,15.07,4.56,3.86,115.0,124.3,
20231221,CLE,W,123,104,16,12,-1,NOP,False,99.87,0.58,12.33,26.83,0.25,123.37,97.43,0.52,13.97,25.3,0.18,108.93,"['CJ McCollum', 'Herbert Jones', 'Brandon Ingram', 'Trey Murphy III', 'Jonas Valančiūnas']","['Naji Marshall', 'Dyson Daniels', 'Jeremiah Robinson-Earl', 'Jose Alvarado', 'Jordan Hawkins', 'Zion Williamson', 'Cody Zeller']","['Max Strus', 'Isaac Okoro', 'Craig Porter Jr.', 'Jarrett Allen', 'Dean Wade']","['Caris LeVert', 'Tristan Thompson', 'Georges Niang', 'Sam Merrill', 'Emoni Bates', 'Isaiah Mobley', 'Damian Jones']",13.93,11.03,5.12,5.59,100.0,108.0,
20231221,LAC,W,134,115,17,8,-1,OKC,False,102.1,0.52,10.53,24.9,0.25,116.8,99.67,0.55,12.67,23.07,0.23,113.97,"['Shai Gilgeous-Alexander', 'Luguentz Dort', 'Chet Holmgren', 'Jalen Williams', 'Josh Giddey']","['Aaron Wiggins', 'Isaiah Joe', 'Cason Wallace', 'Kenrich Williams', 'Ousmane Dieng', 'Jaylin Williams', 'Tre Mann', 'Dāvis Bertāns', 'Vasilije Micić', 'Olivier Sarr']","['James Harden', 'Amir Coffey', 'Paul George', 'Terance Mann', 'Ivica Zubac']","['Russell Westbrook', 'Norman Powell', 'Brandon Boston Jr.', 'Daniel Theis', 'Bones Hyland', 'Kobe Brown', 'P.J. Tucker']",15.44,12.88,3.02,5.3,108.0,112.3,
20231221,MIN,L,111,118,15,13,3,LAL,False,100.23,0.64,15.87,23.0,0.16,121.63,,,,,,,"['Anthony Davis', ""D'Angelo Russell"", 'Taurean Prince', 'Cam Reddish', 'Rui Hachimura']","['Austin Reaves', 'Jarred Vanderbilt', 'Jaxson Hayes', 'Christian Wood', 'Max Christie', 'Jalen Hood-Schifino', 'Maxwell Lewis']","['Anthony Edwards', 'Rudy Gobert', 'Jaden McDaniels', 'Karl-Anthony Towns', 'Mike Conley']","['Kyle Anderson', 'Naz Reid', 'Nickeil Alexander-Walker', 'Troy Brown Jr.', 'Luka Garza', 'Jordan McLaughlin', 'Shake Milton', 'Wendell Moore Jr.']",11.36,15.32,3.54,2.74,111.0,107.7,
20231221,MIL,L,114,118,16,10,1,ORL,False,96.53,0.51,12.47,28.83,0.17,108.53,104.03,0.53,10.17,16.33,0.22,113.43,"['Franz Wagner', 'Gary Harris', 'Paolo Banchero', 'Wendell Carter Jr.', 'Anthony Black']","['Cole Anthony', 'Moritz Wagner', 'Caleb Houstan', 'Jonathan Isaac', 'Goga Bitadze', 'Chuma Okeke', 'Admiral Schofield']","['Giannis Antetokounmpo', 'Brook Lopez', 'Damian Lillard', 'Khris Middleton', 'Malik Beasley']","['Bobby Portis', 'Pat Connaughton', 'Cameron Payne', 'MarJon Beauchamp', 'Andre Jackson Jr.', 'Thanasis Antetokounmpo', 'A.J. Green', 'Robin Lopez']",7.38,17.21,5.06,5.11,117.3,123.3,
20231221,DET,W,119,111,10,18,1,UTA,False,97.97,0.56,13.87,23.57,0.25,116.97,102.73,0.63,13.53,25.27,0.19,127.37,"['Kelly Olynyk', 'Kris Dunn', 'Collin Sexton', 'John Collins', 'Simone Fontecchio']","['Ochai Agbaji', 'Walker Kessler', 'Taylor Hendricks', 'Luka Šamanić', 'Keyonte George', 'Johnny Juzang', 'Omer Yurtseven']","['Cade Cunningham', 'Jaden Ivey', 'Bojan Bogdanović', 'Isaiah Stewart', 'Marvin Bagley III']","['Ausar Thompson', 'James Wiseman', 'Marcus Sasser', 'Isaiah Livers', 'Alec Burks', 'Joe Harris', 'Killian Hayes', 'Kevin Knox']",9.51,10.31,5.39,4.51,117.7,112.3,
