Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
23,W,93,84,30,22,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,5.0,122.9,108.6,10.3,5.82,5.86,1.56
14,W,96,87,31,22,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,111.9,108.0,11.06,6.3,6.46,5.06
28,W,133,126,32,22,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,124.4,113.0,11.06,8.99,6.46,4.69
10,W,127,105,33,22,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,102.5,104.2,9.79,11.29,5.86,3.27
15,L,95,106,34,24,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-4.0,97.2,114.6,9.79,8.23,5.86,3.08
3,L,106,114,34,25,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,117.8,111.6,10.14,8.61,4.2,1.32
18,W,115,92,34,24,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,107.3,118.5,10.14,3.17,4.73,6.12
11,L,114,123,35,26,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,118.1,116.1,11.06,10.89,5.11,6.65
11,W,129,102,35,25,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,118.9,118.3,11.06,11.36,6.29,6.6
26,W,139,98,36,25,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,122.3,109.4,11.06,7.73,5.59,2.57
21,W,103,95,37,25,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,122.2,117.0,11.06,8.4,5.85,2.65
0,W,116,103,38,25,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,118.4,119.1,11.06,10.89,6.29,3.13
5,L,95,116,39,27,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,105.6,113.8,11.06,12.82,6.29,3.93
12,W,112,104,39,26,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,4.0,110.1,107.4,11.06,12.92,6.29,4.72
23,W,126,107,40,26,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,123.7,102.4,11.88,7.46,6.12,3.17
2,W,104,91,41,26,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,120.7,106.4,11.06,15.97,6.29,6.3
20,L,106,121,42,28,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-4.0,103.6,111.8,11.06,9.72,6.29,4.32
15,W,111,88,42,27,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,97.2,115.9,9.79,8.51,5.86,3.2
8,W,114,101,43,27,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,108.9,102.7,9.79,3.15,7.1,5.48
19,L,112,119,44,29,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,113.2,117.0,9.79,10.67,5.86,5.52
16,W,107,100,44,28,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,116.3,130.9,9.79,10.99,5.86,4.71
1,L,92,104,45,30,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-3.0,110.6,119.4,9.79,17.85,5.98,3.1
22,L,111,124,45,31,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,123.3,122.2,9.79,15.2,5.36,6.46
20,L,108,117,45,32,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,104.9,116.6,9.79,9.72,5.36,4.61
25,L,109,111,45,33,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,127.6,107.6,8.12,3.86,5.7,3.84
22,W,113,105,45,32,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,112.4,119.9,9.79,15.2,3.89,5.67
23,W,110,100,46,32,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,115.3,89.5,9.79,3.53,3.89,4.54
24,W,135,123,47,32,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,121.0,112.6,9.79,14.75,5.43,3.06
9,W,114,109,48,32,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,2.0,109.3,121.8,9.79,12.0,3.96,3.96
13,L,108,124,49,34,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,102.8,126.6,11.06,13.66,5.61,3.01
13,L,106,110,49,35,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,125.5,118.6,11.06,13.66,5.61,2.81
24,W,105,98,49,34,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,129.3,112.6,10.3,14.75,5.2,3.38
19,L,92,94,0,2,17,True,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,102.4,107.2,10.3,10.67,5.2,5.26
19,L,92,124,0,3,17,True,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,91.9,109.5,10.3,10.67,5.2,5.26
19,L,85,106,0,4,17,True,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,104.9,112.2,10.3,10.67,4.89,5.26
19,L,89,97,0,5,17,True,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-3.0,91.5,103.4,10.3,10.67,5.2,5.26
1,L,104,108,0,2,18,False,102.06,0.5,10.24,21.37,0.15,107.64,102.06,0.49,13.09,21.94,0.24,103.83,9.0,117.6,111.3,11.22,16.62,3.74,2.97
0,W,126,120,0,1,18,False,100.01,0.61,11.35,14.7,0.13,118.45,100.01,0.5,15.73,22.51,0.16,100.8,3.0,116.8,104.1,9.15,13.8,4.28,3.32
5,W,109,91,1,2,18,False,103.17,0.57,12.97,15.11,0.16,111.67,103.17,0.5,13.4,23.3,0.16,104.3,3.0,100.4,84.1,9.32,16.51,2.84,0.7
