G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player16_Starters,Team_Player17_Starters,Opponent_Player17_Starters
33,20210224,IND,W,111,107,18,15,W 2,GSW,2021,False,104.3,.500,15.7,20.0,.337,106.5,104.3,.500,16.7,17.5,.321,102.6,Kelly Oubre Jr.,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,James Wiseman,Eric Paschall,Damion Lee,Brad Wanamaker,Kent Bazemore,Juan Toscano-Anderson,Mychal Mulder,Team Totals,,,Domantas Sabonis,Malcolm Brogdon,Justin Holiday,Myles Turner,Doug McDermott,T.J. McConnell,Jeremy Lamb,Aaron Holiday,Edmond Sumner,Goga Bitadze,Kelan Martin,JaKarr Sampson,Team Totals,,,,,,
35,20210228,LAL,L,91,117,19,16,L 1,GSW,2021,False,107.9,.453,17.5,6.1,.151,84.3,107.9,.535,16.4,30.4,.306,108.4,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Draymond Green,Kevon Looney,Juan Toscano-Anderson,James Wiseman,Eric Paschall,Damion Lee,Brad Wanamaker,Kent Bazemore,Mychal Mulder,Team Totals,,,Dennis Schröder,LeBron James,Markieff Morris,Kentavious Caldwell-Pope,Marc Gasol,Alex Caruso,Kyle Kuzma,Talen Horton-Tucker,Wesley Matthews,Alfonzo McKinnie,Jared Dudley,Montrezl Harrell,Damian Jones,Devontae Cacok,Kostas Antetokounmpo,Team Totals,,,
38,20210311,LAC,L,104,130,19,19,L 4,GSW,2021,False,107.9,.483,13.8,10.0,.216,96.4,107.9,.552,9.2,22.0,.250,120.5,Kelly Oubre Jr.,Andrew Wiggins,Stephen Curry,Draymond Green,Kevon Looney,Nico Mannion,Jordan Poole,Juan Toscano-Anderson,Eric Paschall,Kent Bazemore,James Wiseman,Damion Lee,Mychal Mulder,Brad Wanamaker,Team Totals,Kawhi Leonard,Paul George,Serge Ibaka,Nicolas Batum,Patrick Beverley,Reggie Jackson,Marcus Morris,Terance Mann,Ivica Zubac,Lou Williams,Luke Kennard,Patrick Patterson,Amir Coffey,Mfiondu Kabengele,Team Totals,,,,
40,20210315,LAL,L,97,128,20,20,L 1,GSW,2021,False,100.4,.513,19.7,18.8,.203,96.6,100.4,.699,17.6,25.0,.244,127.5,Stephen Curry,Draymond Green,Kelly Oubre Jr.,Andrew Wiggins,Kevon Looney,James Wiseman,Jordan Poole,Nico Mannion,Eric Paschall,Kent Bazemore,Damion Lee,Juan Toscano-Anderson,Alen Smailagić,Mychal Mulder,Brad Wanamaker,LeBron James,Dennis Schröder,Damian Jones,Kentavious Caldwell-Pope,Markieff Morris,Kyle Kuzma,Talen Horton-Tucker,Montrezl Harrell,Wesley Matthews,Alfonzo McKinnie,Devontae Cacok,Alex Caruso,Team Totals,,,,Team Totals,,
41,20210317,HOU,W,108,94,21,20,W 1,GSW,2021,False,102.5,.544,12.0,13.0,.111,105.4,102.5,.456,14.1,16.0,.263,91.7,Kelly Oubre Jr.,Draymond Green,Stephen Curry,Andrew Wiggins,Kevon Looney,Jordan Poole,Damion Lee,Nico Mannion,Kent Bazemore,Juan Toscano-Anderson,Mychal Mulder,Alen Smailagić,Brad Wanamaker,Team Totals,,Kevin Porter Jr.,Sterling Brown,Jae'Sean Tate,Christian Wood,Danuel House Jr.,KJ Martin,Anthony Lamb,Mason Jones,Justin Patton,Ben McLemore,Victor Oladipo,John Wall,Team Totals,,,,,,
42,20210319,MEM,W,116,103,22,20,W 2,GSW,2021,False,102.9,.566,11.6,17.8,.143,112.7,102.9,.512,18.4,20.5,.202,100.1,Andrew Wiggins,Draymond Green,Jordan Poole,Kelly Oubre Jr.,Kevon Looney,Damion Lee,Brad Wanamaker,Nico Mannion,Kent Bazemore,Mychal Mulder,Juan Toscano-Anderson,Alen Smailagić,Stephen Curry,Team Totals,,Ja Morant,Jonas Valančiūnas,Dillon Brooks,Grayson Allen,Kyle Anderson,De'Anthony Melton,Brandon Clarke,Tyus Jones,Desmond Bane,Justise Winslow,Xavier Tillman Sr.,John Konchar,Killian Tillie,Gorgui Dieng,Jontay Porter,Team Totals,,,
43,20210320,MEM,L,103,111,22,21,L 1,GSW,2021,False,105.7,.417,10.3,13.0,.311,97.5,105.7,.442,9.9,25.0,.284,105.1,Jordan Poole,Andrew Wiggins,Draymond Green,Kelly Oubre Jr.,Alen Smailagić,Juan Toscano-Anderson,Kent Bazemore,Damion Lee,Nico Mannion,Brad Wanamaker,Mychal Mulder,Stephen Curry,Team Totals,,,Ja Morant,Grayson Allen,Kyle Anderson,Jonas Valančiūnas,Dillon Brooks,Desmond Bane,Brandon Clarke,Justise Winslow,Tyus Jones,De'Anthony Melton,Gorgui Dieng,John Konchar,Jontay Porter,Killian Tillie,Xavier Tillman Sr.,Team Totals,,,
48,20210401,MIA,L,109,116,23,25,L 1,GSW,2021,False,99.3,.530,17.7,27.3,.268,109.7,99.3,.555,11.2,12.8,.305,116.8,Stephen Curry,Draymond Green,Andrew Wiggins,Kelly Oubre Jr.,James Wiseman,Damion Lee,Kevon Looney,Kent Bazemore,Jordan Poole,Mychal Mulder,Nico Mannion,Juan Toscano-Anderson,Eric Paschall,Alen Smailagić,Team Totals,Duncan Robinson,Jimmy Butler,Bam Adebayo,Trevor Ariza,Victor Oladipo,Tyler Herro,Andre Iguodala,Nemanja Bjelica,Gabe Vincent,Precious Achiuwa,Udonis Haslem,Kendrick Nunn,Max Strus,Team Totals,,,,,
51,20210406,MIL,W,122,121,24,27,W 1,GSW,2021,False,100.6,.557,9.6,26.1,.156,121.3,100.6,.593,12.8,16.7,.221,120.3,Stephen Curry,Kelly Oubre Jr.,Andrew Wiggins,Draymond Green,James Wiseman,Kent Bazemore,Damion Lee,Kevon Looney,Jordan Poole,Nico Mannion,Mychal Mulder,Eric Paschall,Alen Smailagić,Juan Toscano-Anderson,Team Totals,Khris Middleton,Jrue Holiday,Brook Lopez,Donte DiVincenzo,Bobby Portis,Pat Connaughton,Thanasis Antetokounmpo,Jeff Teague,Bryn Forbes,Jordan Nwora,Axel Toupane,Mamadi Diakite,Rodions Kurucs,Sam Merrill,Team Totals,,,,
53,20210410,HOU,W,125,109,25,28,W 1,GSW,2021,False,102.1,.615,14.0,22.0,.143,122.4,102.1,.540,15.7,26.5,.159,106.8,Andrew Wiggins,Stephen Curry,Draymond Green,Kent Bazemore,James Wiseman,Jordan Poole,Kevon Looney,Damion Lee,Juan Toscano-Anderson,Mychal Mulder,Gary Payton II,Nico Mannion,Alen Smailagić,Team Totals,,John Wall,Christian Wood,Kevin Porter Jr.,Kelly Olynyk,Jae'Sean Tate,D.J. Augustin,Avery Bradley,KJ Martin,D.J. Wilson,Sterling Brown,Armoni Brooks,DaQuan Jeffries,Anthony Lamb,Team Totals,,,,,
63,20210429,MIN,L,114,126,31,32,L 2,GSW,2021,False,100.0,.582,9.6,8.9,.176,114.0,100.0,.564,11.6,34.8,.213,126.0,Andrew Wiggins,Stephen Curry,Draymond Green,Kent Bazemore,Kevon Looney,Juan Toscano-Anderson,Mychal Mulder,Jordan Poole,Nico Mannion,Kelly Oubre Jr.,Eric Paschall,Alen Smailagić,Team Totals,,,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,Ricky Rubio,Josh Okogie,D'Angelo Russell,Juancho Hernangómez,Jarred Vanderbilt,Naz Reid,Jordan McLaughlin,Ed Davis,Jake Layman,Jaylen Nowell,Team Totals,,,,,
64,20210501,HOU,W,113,87,32,32,W 1,GSW,2021,False,106.5,.571,15.2,9.3,.202,106.1,106.5,.410,16.9,17.9,.157,81.7,Andrew Wiggins,Stephen Curry,Draymond Green,Kent Bazemore,Kevon Looney,Juan Toscano-Anderson,Jordan Poole,Mychal Mulder,Nico Mannion,Alen Smailagić,Kelly Oubre Jr.,Eric Paschall,Team Totals,,,Kevin Porter Jr.,Armoni Brooks,Jae'Sean Tate,Christian Wood,Kelly Olynyk,KJ Martin,D.J. Wilson,DaQuan Jeffries,Anthony Lamb,D.J. Augustin,Avery Bradley,Danuel House Jr.,Team Totals,,,,,,
72,20210516,MEM,W,113,101,39,33,W 6,GSW,2021,False,97.2,.584,18.0,30.8,.193,116.2,97.2,.467,11.5,26.1,.163,103.9,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Kent Bazemore,Juan Toscano-Anderson,Jordan Poole,Mychal Mulder,Jordan Bell,Nico Mannion,Eric Paschall,Gary Payton II,Alen Smailagić,Team Totals,,Ja Morant,Jonas Valančiūnas,Jaren Jackson Jr.,Dillon Brooks,Kyle Anderson,Desmond Bane,De'Anthony Melton,Brandon Clarke,Tyus Jones,Xavier Tillman Sr.,Tim Frazier,John Konchar,Jontay Porter,Killian Tillie,Justise Winslow,Team Totals,,,
73,20210519,LAL,L,100,103,39,34,L 1,GSW,2021,False,98.1,.536,18.2,20.0,.133,102.0,98.1,.462,9.7,26.0,.209,105.0,Draymond Green,Stephen Curry,Andrew Wiggins,Kent Bazemore,Kevon Looney,Jordan Poole,Juan Toscano-Anderson,Mychal Mulder,Jordan Bell,Nico Mannion,Eric Paschall,Gary Payton II,Alen Smailagić,Team Totals,,Anthony Davis,LeBron James,Kentavious Caldwell-Pope,Dennis Schröder,Andre Drummond,Alex Caruso,Kyle Kuzma,Wesley Matthews,Montrezl Harrell,Talen Horton-Tucker,Jared Dudley,Marc Gasol,Alfonzo McKinnie,Ben McLemore,Markieff Morris,Team Totals,,,
74,20210521,MEM,L,112,117,39,35,L 2,GSW,2021,False,95.6,.511,17.0,26.2,.170,106.1,95.6,.485,10.6,30.2,.224,110.9,Stephen Curry,Draymond Green,Andrew Wiggins,Kent Bazemore,Kevon Looney,Jordan Poole,Juan Toscano-Anderson,Mychal Mulder,Jordan Bell,Damion Lee,Nico Mannion,Eric Paschall,Gary Payton II,Alen Smailagić,Team Totals,Ja Morant,Dillon Brooks,Kyle Anderson,Jonas Valančiūnas,Jaren Jackson Jr.,Desmond Bane,Grayson Allen,Xavier Tillman Sr.,De'Anthony Melton,Tyus Jones,Brandon Clarke,Tim Frazier,John Konchar,Killian Tillie,Justise Winslow,Team Totals,,,
6,20210106,IND,L,107,114,2,4,L 2,HOU,2021,False,103.0,.531,14.8,13.9,.259,103.9,103.0,.522,12.2,17.1,.236,110.7,James Harden,David Nwaba,John Wall,P.J. Tucker,DeMarcus Cousins,Eric Gordon,Jae'Sean Tate,Sterling Brown,Bruno Caboclo,Ben McLemore,Brodric Thomas,Christian Wood,Team Totals,,,Malcolm Brogdon,Domantas Sabonis,Victor Oladipo,Myles Turner,Aaron Holiday,Justin Holiday,T.J. McConnell,Doug McDermott,Kelan Martin,JaKarr Sampson,Cassius Stanley,Edmond Sumner,Team Totals,,,,,,
8,20210110,LAL,L,102,120,3,5,L 1,HOU,2021,False,105.8,.478,17.3,25.0,.178,96.4,105.8,.560,14.3,25.0,.198,113.4,James Harden,John Wall,Christian Wood,P.J. Tucker,David Nwaba,Eric Gordon,Jae'Sean Tate,Ben McLemore,Sterling Brown,DeMarcus Cousins,Mason Jones,Bruno Caboclo,KJ Martin,Team Totals,,Dennis Schröder,LeBron James,Anthony Davis,Marc Gasol,Kentavious Caldwell-Pope,Kyle Kuzma,Montrezl Harrell,Alex Caruso,Talen Horton-Tucker,Quinn Cook,Alfonzo McKinnie,Markieff Morris,Wesley Matthews,Team Totals,,,,,
9,20210112,LAL,L,100,117,3,6,L 2,HOU,2021,False,105.5,.454,12.6,18.5,.124,94.8,105.5,.583,18.0,25.6,.226,110.9,James Harden,John Wall,Christian Wood,P.J. Tucker,David Nwaba,Jae'Sean Tate,Eric Gordon,Sterling Brown,DeMarcus Cousins,Ben McLemore,Mason Jones,KJ Martin,Bruno Caboclo,Team Totals,,LeBron James,Anthony Davis,Dennis Schröder,Marc Gasol,Kentavious Caldwell-Pope,Kyle Kuzma,Montrezl Harrell,Alex Caruso,Talen Horton-Tucker,Markieff Morris,Quinn Cook,Alfonzo McKinnie,Team Totals,,,,,,
21,20210204,MEM,W,115,103,11,10,W 1,HOU,2021,False,98.0,.580,13.7,20.0,.161,117.3,98.0,.494,11.8,23.4,.195,105.1,P.J. Tucker,Eric Gordon,Jae'Sean Tate,John Wall,Christian Wood,Danuel House Jr.,Sterling Brown,DeMarcus Cousins,Ben McLemore,Mason Jones,Rodions Kurucs,David Nwaba,Team Totals,,,Ja Morant,Dillon Brooks,Brandon Clarke,Kyle Anderson,Xavier Tillman Sr.,Desmond Bane,De'Anthony Melton,Gorgui Dieng,Tyus Jones,John Konchar,Grayson Allen,Jonas Valančiūnas,Team Totals,,,,,,
25,20210211,MIA,L,94,101,11,14,L 4,HOU,2021,False,98.0,.476,14.0,16.3,.181,96.0,98.0,.525,19.3,19.0,.228,103.1,John Wall,Jae'Sean Tate,DeMarcus Cousins,P.J. Tucker,Victor Oladipo,Danuel House Jr.,Eric Gordon,Sterling Brown,David Nwaba,Ben McLemore,Mason Jones,Rodions Kurucs,Team Totals,,,Kendrick Nunn,Jimmy Butler,Bam Adebayo,Kelly Olynyk,Duncan Robinson,Andre Iguodala,Max Strus,Gabe Vincent,Precious Achiuwa,Avery Bradley,Goran Dragić,Maurice Harkless,Udonis Haslem,Tyler Herro,KZ Okpala,Team Totals,,,
32,20210228,MEM,L,84,133,11,21,L 11,HOU,2021,False,109.0,.301,18.5,21.1,.410,77.0,109.0,.585,14.5,29.7,.245,122.0,John Wall,Justin Patton,Danuel House Jr.,Eric Gordon,P.J. Tucker,Sterling Brown,Jae'Sean Tate,David Nwaba,Ben McLemore,Mason Jones,Rodions Kurucs,Victor Oladipo,Team Totals,,,Desmond Bane,Ja Morant,Kyle Anderson,Dillon Brooks,Jonas Valančiūnas,De'Anthony Melton,Justise Winslow,Brandon Clarke,Xavier Tillman Sr.,Tyus Jones,John Konchar,Gorgui Dieng,Killian Tillie,Team Totals,,,,,
44,20210326,MIN,L,101,107,12,32,L 2,HOU,2021,False,104.2,.523,18.5,16.3,.115,97.0,104.2,.427,7.3,25.9,.184,102.7,Jae'Sean Tate,John Wall,Sterling Brown,Christian Wood,Ben McLemore,KJ Martin,D.J. Augustin,D.J. Wilson,Danuel House Jr.,Anthony Lamb,Justin Patton,Kevin Porter Jr.,Team Totals,,,Karl-Anthony Towns,Anthony Edwards,Jaden McDaniels,Ricky Rubio,Jarred Vanderbilt,Jaylen Nowell,Juancho Hernangómez,Jordan McLaughlin,Naz Reid,Malik Beasley,Jarrett Culver,Ed Davis,Jake Layman,Team Totals,,,,,
45,20210327,MIN,W,129,107,13,32,W 1,HOU,2021,False,97.2,.641,10.9,25.0,.120,132.7,97.2,.500,11.8,24.4,.259,110.1,Jae'Sean Tate,Kevin Porter Jr.,John Wall,Kelly Olynyk,Sterling Brown,Ben McLemore,D.J. Augustin,KJ Martin,D.J. Wilson,Anthony Lamb,Justin Patton,Eric Gordon,Christian Wood,Team Totals,,Jaden McDaniels,Anthony Edwards,Karl-Anthony Towns,Malik Beasley,Ricky Rubio,Jaylen Nowell,Juancho Hernangómez,Jordan McLaughlin,Naz Reid,Jake Layman,Jarrett Culver,Jarred Vanderbilt,Ed Davis,Team Totals,,,,,
46,20210329,MEM,L,110,120,13,33,L 1,HOU,2021,False,103.2,.484,10.4,20.0,.202,106.6,103.2,.606,14.3,17.9,.200,116.3,Kevin Porter Jr.,Kelly Olynyk,Jae'Sean Tate,John Wall,Danuel House Jr.,Sterling Brown,D.J. Augustin,Avery Bradley,D.J. Wilson,KJ Martin,Anthony Lamb,Ben McLemore,Justin Patton,Team Totals,,Dillon Brooks,Ja Morant,Jonas Valančiūnas,Kyle Anderson,Grayson Allen,De'Anthony Melton,Desmond Bane,Brandon Clarke,Tyus Jones,Xavier Tillman Sr.,John Konchar,Sean McDermott,Jontay Porter,Killian Tillie,Team Totals,,,,
52,20210409,LAC,L,109,126,14,38,L 1,HOU,2021,False,96.8,.542,12.9,26.1,.229,112.6,96.8,.653,9.6,12.1,.125,130.2,Kelly Olynyk,Jae'Sean Tate,Christian Wood,Kevin Porter Jr.,Avery Bradley,Sterling Brown,KJ Martin,D.J. Augustin,D.J. Wilson,Armoni Brooks,DaQuan Jeffries,Anthony Lamb,Team Totals,,,Kawhi Leonard,Reggie Jackson,Marcus Morris,Luke Kennard,Ivica Zubac,Terance Mann,Nicolas Batum,Patrick Patterson,Amir Coffey,DeMarcus Cousins,Malik Fitts,Daniel Oturu,Paul George,Team Totals,,,,,
55,20210414,IND,L,124,132,14,41,L 4,HOU,2021,False,109.1,.510,11.7,30.2,.173,113.7,109.1,.612,14.8,26.2,.181,121.0,Kevin Porter Jr.,Kelly Olynyk,Christian Wood,John Wall,Jae'Sean Tate,Avery Bradley,Armoni Brooks,KJ Martin,D.J. Wilson,Danuel House Jr.,DaQuan Jeffries,Anthony Lamb,Team Totals,,,Justin Holiday,Domantas Sabonis,Malcolm Brogdon,Caris LeVert,Edmond Sumner,Jeremy Lamb,T.J. McConnell,Aaron Holiday,Goga Bitadze,Oshae Brissett,Brian Bowen,Kelan Martin,JaKarr Sampson,Cassius Stanley,Team Totals,,,,
58,20210419,MIA,L,91,113,15,43,L 1,HOU,2021,False,98.1,.441,12.3,12.8,.188,92.8,98.1,.586,13.5,23.9,.043,115.2,Kelly Olynyk,Christian Wood,Kevin Porter Jr.,John Wall,Jae'Sean Tate,Armoni Brooks,Avery Bradley,KJ Martin,D.J. Wilson,DaQuan Jeffries,Anthony Lamb,Danuel House Jr.,Team Totals,,,Kendrick Nunn,Trevor Ariza,Precious Achiuwa,Duncan Robinson,Andre Iguodala,Goran Dragić,KZ Okpala,Dewayne Dedmon,Max Strus,Gabe Vincent,Bam Adebayo,Nemanja Bjelica,Jimmy Butler,Udonis Haslem,Tyler Herro,Team Totals,,,
60,20210423,LAC,L,104,109,15,45,L 3,HOU,2021,False,102.8,.478,12.4,17.0,.213,101.1,102.8,.464,11.6,26.9,.196,106.0,John Wall,Christian Wood,Jae'Sean Tate,Kelly Olynyk,Armoni Brooks,KJ Martin,Danuel House Jr.,DaQuan Jeffries,D.J. Wilson,D.J. Augustin,Avery Bradley,Anthony Lamb,Team Totals,,,Terance Mann,Paul George,Reggie Jackson,Ivica Zubac,Patrick Patterson,Nicolas Batum,Amir Coffey,Luke Kennard,DeMarcus Cousins,Yogi Ferrell,Daniel Oturu,Team Totals,,,,,,,
62,20210427,MIN,L,107,114,15,47,L 5,HOU,2021,False,103.8,.529,15.1,18.2,.186,103.1,103.8,.538,11.9,24.5,.151,109.8,Jae'Sean Tate,Christian Wood,Kevin Porter Jr.,Kelly Olynyk,Danuel House Jr.,Avery Bradley,KJ Martin,D.J. Wilson,Armoni Brooks,D.J. Augustin,DaQuan Jeffries,Anthony Lamb,Team Totals,,,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,Ricky Rubio,Josh Okogie,D'Angelo Russell,Juancho Hernangómez,Jarred Vanderbilt,Jordan McLaughlin,Naz Reid,Jarrett Culver,Ed Davis,Jake Layman,Jaylen Nowell,Team Totals,,,,
63,20210429,MIL,W,143,136,16,47,W 1,HOU,2021,False,107.9,.628,14.2,34.8,.204,132.5,107.9,.613,11.9,18.2,.237,126.0,Kevin Porter Jr.,Christian Wood,Kelly Olynyk,Jae'Sean Tate,Armoni Brooks,D.J. Wilson,KJ Martin,DaQuan Jeffries,Anthony Lamb,D.J. Augustin,Avery Bradley,Danuel House Jr.,Team Totals,,,Jrue Holiday,Khris Middleton,Brook Lopez,Donte DiVincenzo,Giannis Antetokounmpo,P.J. Tucker,Bryn Forbes,Bobby Portis,Pat Connaughton,Jeff Teague,Thanasis Antetokounmpo,Mamadi Diakite,Justin Jackson,Sam Merrill,Jordan Nwora,Team Totals,,,
67,20210507,MIL,L,133,141,16,51,L 4,HOU,2021,False,109.3,.630,13.3,14.9,.125,121.7,109.3,.637,13.9,30.2,.211,129.1,KJ Martin,Anthony Lamb,DaQuan Jeffries,Kelly Olynyk,D.J. Augustin,Armoni Brooks,Khyri Thomas,Danuel House Jr.,Kevin Porter Jr.,Jae'Sean Tate,John Wall,Christian Wood,Team Totals,,,Jrue Holiday,Donte DiVincenzo,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Pat Connaughton,P.J. Tucker,Bryn Forbes,Bobby Portis,Jeff Teague,Thanasis Antetokounmpo,Mamadi Diakite,Rodions Kurucs,Sam Merrill,Jordan Nwora,Team Totals,,,
70,20210512,LAL,L,122,124,16,54,L 7,HOU,2021,False,102.3,.612,13.4,19.5,.212,119.2,102.3,.610,9.8,19.5,.143,121.2,Khyri Thomas,KJ Martin,Kelly Olynyk,D.J. Augustin,Jae'Sean Tate,Armoni Brooks,Anthony Lamb,Cameron Oliver,Danuel House Jr.,DaQuan Jeffries,Kevin Porter Jr.,Christian Wood,Team Totals,,,Talen Horton-Tucker,Kentavious Caldwell-Pope,Wesley Matthews,Markieff Morris,Andre Drummond,Kyle Kuzma,Montrezl Harrell,Ben McLemore,Alfonzo McKinnie,Devontae Cacok,Kostas Antetokounmpo,Marc Gasol,Team Totals,,,,,,
71,20210514,LAC,W,122,115,17,54,W 1,HOU,2021,False,102.7,.616,14.3,22.2,.186,118.8,102.7,.543,12.3,17.5,.151,112.0,KJ Martin,Kelly Olynyk,Khyri Thomas,D.J. Augustin,Jae'Sean Tate,Armoni Brooks,Anthony Lamb,Cameron Oliver,Cameron Reynolds,Danuel House Jr.,Kevin Porter Jr.,Christian Wood,Team Totals,,,Luke Kennard,Jay Scrubb,Rajon Rondo,Marcus Morris,Ivica Zubac,Yogi Ferrell,Patrick Patterson,DeMarcus Cousins,Serge Ibaka,Nicolas Batum,Daniel Oturu,Amir Coffey,Team Totals,,,,,,
13,20210117,LAC,L,96,129,8,5,L 1,IND,2021,False,103.6,.478,14.3,12.2,.124,92.7,103.6,.661,15.8,25.0,.161,124.5,Justin Holiday,Domantas Sabonis,Malcolm Brogdon,Doug McDermott,Edmond Sumner,T.J. McConnell,Aaron Holiday,Goga Bitadze,Cassius Stanley,Kelan Martin,Brian Bowen,Jalen Lecque,Team Totals,,,Paul George,Kawhi Leonard,Patrick Beverley,Nicolas Batum,Ivica Zubac,Marcus Morris,Luke Kennard,Patrick Patterson,Reggie Jackson,Terance Mann,Amir Coffey,Daniel Oturu,Mfiondu Kabengele,Lou Williams,Team Totals,,,,
21,20210202,MEM,W,134,116,12,9,W 1,IND,2021,False,104.2,.695,16.0,25.7,.244,128.6,104.2,.500,13.4,23.3,.247,111.3,Domantas Sabonis,Myles Turner,Justin Holiday,Malcolm Brogdon,Jeremy Lamb,T.J. McConnell,Doug McDermott,Aaron Holiday,Goga Bitadze,JaKarr Sampson,Kelan Martin,Edmond Sumner,Team Totals,,,Ja Morant,Dillon Brooks,Brandon Clarke,Xavier Tillman Sr.,Kyle Anderson,Desmond Bane,Gorgui Dieng,De'Anthony Melton,Tyus Jones,John Konchar,Jontay Porter,Jonas Valančiūnas,Team Totals,,,,,,
22,20210203,MIL,L,110,130,12,10,L 1,IND,2021,False,106.9,.511,12.1,16.0,.137,102.9,106.9,.574,10.7,22.4,.127,121.7,Domantas Sabonis,Malcolm Brogdon,Justin Holiday,Myles Turner,Jeremy Lamb,Doug McDermott,T.J. McConnell,Aaron Holiday,Goga Bitadze,Edmond Sumner,Kelan Martin,JaKarr Sampson,Team Totals,,,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Brook Lopez,Donte DiVincenzo,Bryn Forbes,D.J. Augustin,Bobby Portis,Torrey Craig,Pat Connaughton,D.J. Wilson,Thanasis Antetokounmpo,Jaylen Adams,Team Totals,,,,,
29,20210217,MIN,W,134,128,15,14,W 1,IND,2021,False,101.8,.572,12.1,23.3,.237,119.2,101.8,.491,8.5,21.2,.215,113.9,Domantas Sabonis,Malcolm Brogdon,Justin Holiday,Myles Turner,Doug McDermott,Jeremy Lamb,T.J. McConnell,Aaron Holiday,Goga Bitadze,Kelan Martin,JaKarr Sampson,Edmond Sumner,Team Totals,,,Anthony Edwards,Karl-Anthony Towns,Jaden McDaniels,Ricky Rubio,Jarred Vanderbilt,Malik Beasley,Jordan McLaughlin,Naz Reid,Josh Okogie,Jaylen Nowell,Ed Davis,Juancho Hernangómez,Jake Layman,Team Totals,,,,,
36,20210312,LAL,L,100,105,16,20,L 2,IND,2021,False,100.4,.466,14.1,20.8,.205,99.6,100.4,.493,13.9,15.0,.395,104.5,Malcolm Brogdon,Domantas Sabonis,Justin Holiday,Doug McDermott,Myles Turner,T.J. McConnell,Jeremy Lamb,Aaron Holiday,Edmond Sumner,Goga Bitadze,Brian Bowen,Jalen Lecque,Kelan Martin,JaKarr Sampson,Cassius Stanley,Dennis Schröder,LeBron James,Kentavious Caldwell-Pope,Markieff Morris,Damian Jones,Montrezl Harrell,Kyle Kuzma,Wesley Matthews,Talen Horton-Tucker,Alex Caruso,Devontae Cacok,Alfonzo McKinnie,Team Totals,,,,Team Totals,,
40,20210319,MIA,W,137,110,18,22,W 1,IND,2021,False,101.5,.697,14.9,25.7,.146,134.9,101.5,.495,9.8,20.8,.207,108.3,Caris LeVert,Malcolm Brogdon,Domantas Sabonis,Justin Holiday,Myles Turner,T.J. McConnell,Goga Bitadze,Jeremy Lamb,Doug McDermott,Edmond Sumner,Aaron Holiday,Cassius Stanley,Brian Bowen,Jalen Lecque,Kelan Martin,Kelly Olynyk,Jimmy Butler,Duncan Robinson,Bam Adebayo,Kendrick Nunn,Tyler Herro,Goran Dragić,KZ Okpala,Gabe Vincent,Trevor Ariza,Chris Silva,Precious Achiuwa,Max Strus,Maurice Harkless,Andre Iguodala,Team Totals,Team Totals,,
41,20210321,MIA,W,109,106,19,22,W 2,IND,2021,False,95.4,.464,12.3,25.5,.184,103.5,95.4,.448,13.0,26.0,.196,100.6,Justin Holiday,Malcolm Brogdon,Domantas Sabonis,Caris LeVert,Myles Turner,T.J. McConnell,Doug McDermott,Edmond Sumner,Jeremy Lamb,Goga Bitadze,Brian Bowen,Aaron Holiday,Kelan Martin,JaKarr Sampson,Cassius Stanley,Jimmy Butler,Duncan Robinson,Bam Adebayo,Kelly Olynyk,Kendrick Nunn,Tyler Herro,Andre Iguodala,Trevor Ariza,Gabe Vincent,Precious Achiuwa,Goran Dragić,Maurice Harkless,KZ Okpala,Chris Silva,Max Strus,Team Totals,Team Totals,,
