Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp
20240424,MIA,L,101,111,1,0,1,BOS,True,91.17,0.56,9.2,28.23,0.09,122.57,98.33,0.56,12.77,20.63,0.2,115.33,11.45,11.68,9.85,7.72
20240423,MIL,W,125,108,0,1,-1,IND,True,96.77,0.51,9.27,16.67,0.18,110.27,97.33,0.55,8.9,25.3,0.17,120.97,14.28,11.86,4.38,2.73
20240423,LAC,W,96,93,0,1,-1,DAL,True,92.63,0.5,11.4,20.13,0.18,107.43,95.07,0.58,9.4,25.47,0.22,124.6,13.53,14.86,4.24,7.69
20240423,MIN,L,93,105,0,1,-1,PHO,True,93.7,0.58,15.2,20.33,0.22,116.9,,,,,,,15.55,12.35,1.3,3.44
20240422,LAL,W,101,99,1,0,1,DEN,True,95.33,0.58,11.23,32.5,0.15,124.47,102.47,0.57,12.57,30.03,0.15,120.7,16.08,17.58,2.72,2.98
20240422,CLE,L,86,96,0,1,-1,ORL,True,97.83,0.48,11.07,20.77,0.21,105.17,98.77,0.54,13.9,22.87,0.24,113.93,10.27,15.77,3.2,3.9
20240422,PHI,W,104,101,1,0,1,NYK,True,89.0,0.53,10.93,35.37,0.23,124.07,95.9,0.48,12.93,21.13,0.18,101.83,13.33,15.35,3.89,4.5
20240421,LAC,L,97,109,0,0,-2,DAL,True,96.0,0.56,13.17,19.17,0.23,115.77,95.07,0.58,9.4,25.47,0.22,124.6,16.49,12.48,4.67,8.45
20240421,OKC,L,92,94,0,0,-1,NOP,True,97.13,0.54,14.03,25.23,0.12,109.5,105.83,0.44,14.13,16.07,0.15,89.47,12.7,12.41,3.81,6.14
20240421,MIA,W,114,94,0,0,4,BOS,True,93.17,0.56,8.97,28.23,0.08,121.13,98.33,0.56,12.77,20.63,0.2,115.33,11.43,11.23,10.19,7.6
20240421,MIL,L,94,109,0,0,5,IND,True,95.13,0.59,8.0,15.63,0.19,126.1,97.33,0.55,8.9,25.3,0.17,120.97,14.59,12.39,6.15,2.84
20240420,MIN,L,95,120,0,0,3,PHO,True,95.8,0.61,14.0,24.8,0.18,124.33,,,,,,,16.89,12.41,2.49,3.02
20240420,CLE,L,83,97,0,0,2,ORL,True,97.57,0.53,12.6,18.5,0.21,111.03,98.77,0.54,13.9,22.87,0.24,113.93,10.73,16.03,4.01,4.59
20240420,PHI,W,111,104,0,0,1,NYK,True,91.47,0.56,11.7,32.23,0.16,123.27,95.9,0.48,12.93,21.13,0.18,101.83,15.51,16.58,3.13,5.67
20240420,LAL,W,114,103,0,0,6,DEN,True,98.13,0.57,13.77,26.57,0.2,116.4,102.47,0.57,12.57,30.03,0.15,120.7,15.53,18.43,3.28,3.38
20240419,SAC,W,105,98,49,34,3,NOP,False,98.83,0.55,12.13,18.87,0.12,110.57,95.07,0.45,12.77,18.83,0.16,95.7,12.7,16.53,3.81,2.35
20240419,MIA,L,91,112,40,43,-1,CHI,False,95.7,0.6,10.3,26.5,0.12,125.63,98.33,0.56,12.77,20.63,0.2,115.33,19.29,11.23,8.27,7.6
20240417,MIA,W,105,104,47,35,3,PHI,False,99.13,0.51,9.53,24.0,0.15,113.37,98.33,0.56,12.77,20.63,0.2,115.33,16.58,11.14,5.67,7.64
20240417,CHI,L,116,131,36,46,1,ATL,False,100.87,0.54,14.7,19.87,0.2,110.8,95.53,0.53,14.7,19.87,0.19,106.43,13.4,19.29,3.57,8.27
20240416,LAL,L,106,110,49,33,-1,NOP,False,99.7,0.61,12.6,16.67,0.14,119.3,102.47,0.57,12.57,30.03,0.15,120.7,12.68,18.43,5.29,2.2
20240416,GSW,W,118,94,46,36,2,SAC,False,93.3,0.49,7.77,30.2,0.14,112.97,95.47,0.48,8.73,24.03,0.21,112.13,16.53,14.5,2.35,5.29
20240414,MEM,W,126,111,56,25,4,DEN,False,95.23,0.52,12.53,23.6,0.2,110.23,96.13,0.54,11.97,20.77,0.16,111.27,16.39,13.81,3.21,5.54
