G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters
14,20231120,CHI,W,118,100,9,5,W 1,MIA,2024,False,90.9,.601,9.7,23.7,.202,129.9,89.9,.525,11.1,17.1,.185,111.3,Bam Adebayo,Duncan Robinson,Jimmy Butler,Kyle Lowry,Haywood Highsmith,Jaime Jaquez Jr.,Josh Richardson,Caleb Martin,Kevin Love,Orlando Robinson,Dru Smith,Thomas Bryant,Team Totals,,,,Zach LaVine,DeMar DeRozan,Coby White,Nikola Vučević,Alex Caruso,Patrick Williams,Torrey Craig,Jevon Carter,Andre Drummond,Ayo Dosunmu,Julian Phillips,Terry Taylor,Dalen Terry,Team Totals,,
15,20231122,CLE,W,129,96,10,5,W 2,MIA,2024,False,94.9,.636,11.0,27.0,.193,136.0,93.9,.558,18.6,18.4,.130,102.3,Kyle Lowry,Jimmy Butler,Haywood Highsmith,Duncan Robinson,Thomas Bryant,Jaime Jaquez Jr.,Orlando Robinson,Josh Richardson,Caleb Martin,Dru Smith,Bam Adebayo,Team Totals,,,,,Craig Porter Jr.,Darius Garland,Evan Mobley,Max Strus,Jarrett Allen,Georges Niang,Caris LeVert,Sam Merrill,Emoni Bates,Tristan Thompson,Damian Jones,Isaiah Mobley,Team Totals,,,
16,20231124,NYK,L,98,100,10,6,L 1,MIA,2024,False,97.0,.448,10.3,20.0,.230,101.0,97.5,.543,17.6,16.2,.148,102.6,Jimmy Butler,Bam Adebayo,Josh Richardson,Kyle Lowry,Haywood Highsmith,Jaime Jaquez Jr.,Kevin Love,Caleb Martin,Cole Swider,Thomas Bryant,Jamal Cain,Team Totals,,,,,Julius Randle,RJ Barrett,Jalen Brunson,Quentin Grimes,Mitchell Robinson,Isaiah Hartenstein,Josh Hart,Immanuel Quickley,Donte DiVincenzo,Ryan Arcidiacono,Evan Fournier,DaQuan Jeffries,Miles McBride,Jericho Sims,Team Totals,
17,20231125,BRK,L,97,112,10,7,L 2,MIA,2024,False,92.7,.500,16.3,27.7,.115,104.7,93.2,.590,12.9,20.5,.256,120.2,Josh Richardson,Jaime Jaquez Jr.,Kyle Lowry,Haywood Highsmith,Thomas Bryant,Caleb Martin,Jamal Cain,Cole Swider,Kevin Love,Nikola Jović,Jimmy Butler,Team Totals,,,,,Spencer Dinwiddie,Cameron Johnson,Dorian Finney-Smith,Mikal Bridges,Nic Claxton,Royce O'Neale,Lonnie Walker IV,Trendon Watford,Day'Ron Sharpe,Armoni Brooks,Dariq Whitehead,Noah Clowney,Harry Giles,Team Totals,,
18,20231128,MIL,L,124,131,10,8,L 3,MIA,2024,False,98.7,.585,5.5,17.8,.149,125.6,98.7,.608,8.3,22.9,.273,132.7,Bam Adebayo,Josh Richardson,Kyle Lowry,Duncan Robinson,Kevin Love,Jaime Jaquez Jr.,Caleb Martin,Jamal Cain,Thomas Bryant,Jimmy Butler,Haywood Highsmith,Nikola Jović,Orlando Robinson,Cole Swider,Team Totals,,Giannis Antetokounmpo,Malik Beasley,Damian Lillard,Brook Lopez,Khris Middleton,Bobby Portis,Cameron Payne,Pat Connaughton,MarJon Beauchamp,Andre Jackson Jr.,A.J. Green,Thanasis Antetokounmpo,Chris Livingston,Robin Lopez,Team Totals,
19,20231130,IND,W,142,132,11,8,W 1,MIA,2024,False,107.6,.605,11.7,29.4,.442,132.0,108.1,.566,8.2,20.8,.214,122.1,Jimmy Butler,Duncan Robinson,Kyle Lowry,Haywood Highsmith,Bam Adebayo,Jaime Jaquez Jr.,Josh Richardson,Caleb Martin,Kevin Love,Orlando Robinson,Thomas Bryant,Nikola Jović,Team Totals,,,,Tyrese Haliburton,Obi Toppin,Bruce Brown,Buddy Hield,Myles Turner,Bennedict Mathurin,Aaron Nesmith,Andrew Nembhard,Isaiah Jackson,Ben Sheppard,Jarace Walker,T.J. McConnell,Jordan Nwora,Oscar Tshiebwe,Team Totals,
20,20231202,IND,L,129,144,11,9,L 1,MIA,2024,False,100.7,.607,10.8,17.1,.236,128.1,100.2,.753,9.6,12.0,.188,143.7,Jimmy Butler,Duncan Robinson,Orlando Robinson,Kyle Lowry,Haywood Highsmith,Caleb Martin,Jaime Jaquez Jr.,Josh Richardson,Kevin Love,Jamal Cain,Thomas Bryant,Nikola Jović,Team Totals,,,,Bruce Brown,Obi Toppin,Myles Turner,Buddy Hield,Andrew Nembhard,Aaron Nesmith,Bennedict Mathurin,T.J. McConnell,Isaiah Jackson,Ben Sheppard,Jordan Nwora,Oscar Tshiebwe,Jarace Walker,Team Totals,,
21,20231206,TOR,W,112,103,12,9,W 1,MIA,2024,False,96.0,.539,6.7,17.4,.180,116.7,96.0,.512,13.0,18.2,.174,107.3,Jimmy Butler,Orlando Robinson,Duncan Robinson,Caleb Martin,Kyle Lowry,Jaime Jaquez Jr.,Josh Richardson,Kevin Love,Nikola Jović,Thomas Bryant,Jamal Cain,Haywood Highsmith,Team Totals,,,,OG Anunoby,Pascal Siakam,Dennis Schröder,Scottie Barnes,Jakob Poeltl,Gary Trent Jr.,Otto Porter Jr.,Precious Achiuwa,Chris Boucher,Malachi Flynn,Jalen McDaniels,Garrett Temple,Thaddeus Young,Team Totals,,
22,20231208,CLE,L,99,111,12,10,L 1,MIA,2024,False,99.0,.517,16.3,15.2,.116,100.0,99.0,.540,11.7,28.6,.195,112.1,Jimmy Butler,Caleb Martin,Kyle Lowry,Duncan Robinson,Orlando Robinson,Jaime Jaquez Jr.,Josh Richardson,Kevin Love,Thomas Bryant,Jamal Cain,Nikola Jović,Cole Swider,Team Totals,,,,Donovan Mitchell,Max Strus,Darius Garland,Jarrett Allen,Dean Wade,Craig Porter Jr.,Isaac Okoro,Georges Niang,Tristan Thompson,Sam Merrill,Damian Jones,Isaiah Mobley,Team Totals,,,
23,20231211,CHO,W,116,114,13,10,W 1,MIA,2024,False,93.6,.578,10.7,24.2,.351,124.0,93.6,.577,10.5,14.6,.202,121.8,Caleb Martin,Jimmy Butler,Kyle Lowry,Duncan Robinson,Orlando Robinson,Josh Richardson,Jaime Jaquez Jr.,Kevin Love,Thomas Bryant,Jamal Cain,R.J. Hampton,Cole Swider,Team Totals,,,,Terry Rozier,Miles Bridges,Gordon Hayward,Brandon Miller,Nick Richards,P.J. Washington,Bryce McGowens,Ish Smith,JT Thor,Leaky Black,James Bouknight,Théo Maledon,Team Totals,,,
24,20231213,CHO,W,115,104,14,10,W 2,MIA,2024,False,97.9,.564,19.6,38.6,.209,117.4,97.4,.610,20.4,11.8,.130,106.7,Duncan Robinson,Caleb Martin,Jimmy Butler,Kyle Lowry,Orlando Robinson,Jaime Jaquez Jr.,Jamal Cain,Kevin Love,Thomas Bryant,Bam Adebayo,R.J. Hampton,Cole Swider,Team Totals,,,,Nick Richards,Brandon Miller,Terry Rozier,Gordon Hayward,Miles Bridges,Bryce McGowens,Ish Smith,JT Thor,P.J. Washington,James Bouknight,Théo Maledon,Frank Ntilikina,Team Totals,,,
25,20231214,CHI,L,116,124,14,11,L 1,MIA,2024,False,96.6,.556,10.3,20.0,.338,120.1,96.1,.559,4.5,24.4,.215,129.0,Caleb Martin,Kyle Lowry,Jimmy Butler,Duncan Robinson,Orlando Robinson,Jaime Jaquez Jr.,Kevin Love,Thomas Bryant,R.J. Hampton,Jamal Cain,Bam Adebayo,Cole Swider,Team Totals,,,,DeMar DeRozan,Coby White,Nikola Vučević,Patrick Williams,Alex Caruso,Ayo Dosunmu,Torrey Craig,Jevon Carter,Andre Drummond,Dalen Terry,Julian Phillips,Terry Taylor,Team Totals,,,
26,20231216,CHI,W,118,116,15,11,W 1,MIA,2024,False,91.2,.596,9.6,21.6,.229,129.3,91.7,.584,14.3,32.4,.338,126.4,Caleb Martin,Jimmy Butler,Kyle Lowry,Duncan Robinson,Orlando Robinson,Jaime Jaquez Jr.,Kevin Love,Josh Richardson,Haywood Highsmith,Thomas Bryant,Jamal Cain,Nikola Jović,Team Totals,,,,DeMar DeRozan,Ayo Dosunmu,Coby White,Patrick Williams,Nikola Vučević,Dalen Terry,Torrey Craig,Jevon Carter,Andre Drummond,Julian Phillips,Alex Caruso,Terry Taylor,Team Totals,,,
27,20231218,MIN,L,108,112,15,12,L 1,MIA,2024,False,95.7,.534,13.6,21.4,.172,112.8,96.2,.559,13.0,27.9,.200,116.4,Bam Adebayo,Jimmy Butler,Tyler Herro,Kevin Love,Caleb Martin,Jaime Jaquez Jr.,Josh Richardson,Duncan Robinson,Haywood Highsmith,Thomas Bryant,R.J. Hampton,Nikola Jović,Orlando Robinson,Team Totals,,,Anthony Edwards,Rudy Gobert,Mike Conley,Karl-Anthony Towns,Jaden McDaniels,Kyle Anderson,Nickeil Alexander-Walker,Naz Reid,Troy Brown Jr.,Jordan McLaughlin,Shake Milton,Josh Minott,Wendell Moore Jr.,Team Totals,,
28,20231220,ORL,W,115,106,16,12,W 1,MIA,2024,False,91.6,.572,10.5,22.7,.241,125.5,92.1,.511,11.0,34.1,.169,115.1,Tyler Herro,Jaime Jaquez Jr.,Bam Adebayo,Caleb Martin,Kyle Lowry,Josh Richardson,Haywood Highsmith,Duncan Robinson,Thomas Bryant,Orlando Robinson,Jamal Cain,Nikola Jović,Team Totals,,,,Paolo Banchero,Franz Wagner,Wendell Carter Jr.,Anthony Black,Jalen Suggs,Cole Anthony,Gary Harris,Moritz Wagner,Caleb Houstan,Goga Bitadze,Jonathan Isaac,Chuma Okeke,Jett Howard,Team Totals,,
29,20231222,ATL,W,122,113,17,12,W 2,MIA,2024,False,100.7,.564,14.6,27.9,.291,121.1,101.2,.536,12.1,25.0,.104,111.6,Bam Adebayo,Jaime Jaquez Jr.,Caleb Martin,Tyler Herro,Kyle Lowry,Josh Richardson,Duncan Robinson,Kevin Love,Haywood Highsmith,Thomas Bryant,Jamal Cain,Orlando Robinson,Team Totals,,,,Trae Young,Saddiq Bey,Dejounte Murray,Clint Capela,Garrison Mathews,Bogdan Bogdanović,Onyeka Okongwu,Patty Mills,Wesley Matthews,Bruno Fernando,Trent Forrest,Team Totals,,,,
30,20231225,PHI,W,119,113,18,12,W 3,MIA,2024,False,101.5,.548,12.3,29.5,.321,117.2,102.0,.516,7.1,10.4,.170,110.7,Jaime Jaquez Jr.,Tyler Herro,Bam Adebayo,Kyle Lowry,Caleb Martin,Duncan Robinson,R.J. Hampton,Jamal Cain,Kevin Love,Thomas Bryant,Nikola Jović,Orlando Robinson,Cole Swider,Team Totals,,,Tyrese Maxey,Tobias Harris,Kelly Oubre Jr.,De'Anthony Melton,Paul Reed,Mo Bamba,Patrick Beverley,Marcus Morris,Danuel House Jr.,KJ Martin,Jaden Springer,Robert Covington,Furkan Korkmaz,Kenneth Lofton Jr.,Team Totals,
31,20231228,GSW,W,114,102,19,12,W 4,MIA,2024,False,97.1,.538,9.0,24.4,.176,117.3,95.6,.466,11.6,26.1,.227,106.6,Jaime Jaquez Jr.,Bam Adebayo,Tyler Herro,R.J. Hampton,Haywood Highsmith,Duncan Robinson,Jamal Cain,Nikola Jović,Kevin Love,Cole Swider,Thomas Bryant,Josh Richardson,Team Totals,,,,Stephen Curry,Brandin Podziemski,Klay Thompson,Jonathan Kuminga,Kevon Looney,Chris Paul,Andrew Wiggins,Trayce Jackson-Davis,Dario Šarić,Moses Moody,Cory Joseph,Lester Quinones,Jerome Robinson,Draymond Green,Team Totals,
32,20231230,UTA,L,109,117,19,13,L 1,MIA,2024,False,102.5,.494,14.3,19.0,.410,106.3,102.5,.522,8.7,19.1,.215,114.2,Tyler Herro,Bam Adebayo,Jimmy Butler,Nikola Jović,R.J. Hampton,Jaime Jaquez Jr.,Duncan Robinson,Haywood Highsmith,Kevin Love,Jamal Cain,Thomas Bryant,Josh Richardson,Team Totals,,,,Simone Fontecchio,Lauri Markkanen,Collin Sexton,John Collins,Kris Dunn,Keyonte George,Kelly Olynyk,Jordan Clarkson,Walker Kessler,Ochai Agbaji,Talen Horton-Tucker,Luka Šamanić,Omer Yurtseven,Team Totals,,
33,20240101,LAC,L,104,121,19,14,L 2,MIA,2024,False,93.8,.488,12.8,27.9,.277,110.9,94.3,.675,16.5,20.7,.163,128.3,Jaime Jaquez Jr.,Bam Adebayo,Tyler Herro,Jamal Cain,Kyle Lowry,Duncan Robinson,Kevin Love,R.J. Hampton,Thomas Bryant,Nikola Jović,Cole Swider,Orlando Robinson,Team Totals,,,,Paul George,Kawhi Leonard,James Harden,Ivica Zubac,Terance Mann,Norman Powell,Amir Coffey,Russell Westbrook,Daniel Theis,Brandon Boston Jr.,Kobe Brown,Moussa Diabaté,Bones Hyland,Mason Plumlee,P.J. Tucker,Team Totals
34,20240103,LAL,W,110,96,20,14,W 1,MIA,2024,False,102.0,.527,9.1,14.6,.129,107.8,101.5,.446,19.0,22.0,.265,94.6,Jaime Jaquez Jr.,Bam Adebayo,Nikola Jović,Tyler Herro,Kyle Lowry,Duncan Robinson,Kevin Love,Josh Richardson,Jamal Cain,R.J. Hampton,Orlando Robinson,Cole Swider,Thomas Bryant,Team Totals,,,Anthony Davis,LeBron James,Austin Reaves,Taurean Prince,Cam Reddish,Max Christie,Christian Wood,Jarred Vanderbilt,Jalen Hood-Schifino,Jaxson Hayes,Rui Hachimura,D'Angelo Russell,Team Totals,,,
35,20240105,PHO,L,97,113,20,15,L 1,MIA,2024,False,94.1,.470,14.7,23.9,.229,103.1,94.6,.586,10.4,21.4,.126,119.4,Bam Adebayo,Jaime Jaquez Jr.,Tyler Herro,Nikola Jović,Kyle Lowry,Josh Richardson,Duncan Robinson,Kevin Love,Jamal Cain,Thomas Bryant,R.J. Hampton,Cole Swider,Team Totals,,,,Grayson Allen,Bradley Beal,Devin Booker,Jusuf Nurkić,Chimezie Metu,Josh Okogie,Drew Eubanks,Keita Bates-Diop,Bol Bol,Yuta Watanabe,Jordan Goodwin,Saben Lee,Team Totals,,,
36,20240108,HOU,W,120,113,21,15,W 1,MIA,2024,False,96.0,.591,10.3,25.0,.280,124.9,96.0,.500,10.7,25.5,.284,117.6,Jaime Jaquez Jr.,Tyler Herro,Bam Adebayo,Nikola Jović,Kyle Lowry,Duncan Robinson,Josh Richardson,Kevin Love,Haywood Highsmith,Thomas Bryant,Jamal Cain,Orlando Robinson,Team Totals,,,,Fred VanVleet,Jae'Sean Tate,Alperen Sengun,Jabari Smith Jr.,Jalen Green,Aaron Holiday,Jeff Green,Cam Whitmore,Amen Thompson,Reggie Bullock,Jock Landale,Boban Marjanović,Victor Oladipo,Team Totals,,
37,20240110,OKC,L,120,128,21,16,L 1,MIA,2024,False,100.6,.545,9.0,17.4,.258,119.2,101.1,.674,12.3,11.8,.140,126.6,Bam Adebayo,Tyler Herro,Haywood Highsmith,Jaime Jaquez Jr.,Nikola Jović,Duncan Robinson,Josh Richardson,Kevin Love,Thomas Bryant,Jamal Cain,R.J. Hampton,Orlando Robinson,Team Totals,,,,Jalen Williams,Shai Gilgeous-Alexander,Chet Holmgren,Luguentz Dort,Josh Giddey,Isaiah Joe,Cason Wallace,Kenrich Williams,Vasilije Micić,Jaylin Williams,Aaron Wiggins,Tre Mann,Aleksej Pokusevski,Lindy Waters III,Team Totals,
38,20240112,ORL,W,99,96,22,16,W 1,MIA,2024,False,90.8,.494,15.6,30.0,.205,109.0,91.3,.512,12.5,25.6,.146,105.1,Duncan Robinson,Bam Adebayo,Jaime Jaquez Jr.,Haywood Highsmith,Nikola Jović,Josh Richardson,Caleb Martin,Kevin Love,Thomas Bryant,Jamal Cain,R.J. Hampton,Orlando Robinson,Team Totals,,,,Paolo Banchero,Caleb Houstan,Chuma Okeke,Goga Bitadze,Jalen Suggs,Moritz Wagner,Cole Anthony,Joe Ingles,Markelle Fultz,Anthony Black,Trevelin Queen,Wendell Carter Jr.,Team Totals,,,
39,20240114,CHO,W,104,87,23,16,W 2,MIA,2024,False,95.4,.562,13.7,10.8,.160,109.0,96.4,.400,12.9,29.8,.116,90.2,Bam Adebayo,Tyler Herro,Nikola Jović,Kyle Lowry,Jaime Jaquez Jr.,Haywood Highsmith,Duncan Robinson,Caleb Martin,Josh Richardson,Orlando Robinson,Thomas Bryant,Kevin Love,Team Totals,,,,Miles Bridges,Terry Rozier,LaMelo Ball,Nick Richards,Cody Martin,P.J. Washington,Nick Smith Jr.,Ish Smith,Nathan Mensah,JT Thor,Bryce McGowens,James Bouknight,Leaky Black,Brandon Miller,Team Totals,
40,20240115,BRK,W,96,95,24,16,W 3,MIA,2024,False,92.8,.425,11.7,12.8,.253,93.6,92.4,.404,7.0,15.8,.152,93.1,Bam Adebayo,Jimmy Butler,Tyler Herro,Kyle Lowry,Nikola Jović,Caleb Martin,Josh Richardson,Duncan Robinson,Haywood Highsmith,Thomas Bryant,Orlando Robinson,Cole Swider,Team Totals,,,,Mikal Bridges,Nic Claxton,Dorian Finney-Smith,Cameron Johnson,Spencer Dinwiddie,Dennis Smith Jr.,Cam Thomas,Royce O'Neale,Lonnie Walker IV,Trendon Watford,Harry Giles,Day'Ron Sharpe,Team Totals,,,
41,20240117,TOR,L,97,121,24,17,L 1,MIA,2024,False,92.0,.489,12.8,27.3,.100,105.5,93.0,.625,11.1,34.2,.125,130.1,Bam Adebayo,Tyler Herro,Jimmy Butler,Kyle Lowry,Nikola Jović,Caleb Martin,Josh Richardson,Duncan Robinson,Haywood Highsmith,Thomas Bryant,Cole Swider,Orlando Robinson,Team Totals,,,,RJ Barrett,Scottie Barnes,Gary Trent Jr.,Immanuel Quickley,Jontay Porter,Thaddeus Young,Dennis Schröder,Chris Boucher,Gradey Dick,Javon Freeman-Liberty,Garrett Temple,Jalen McDaniels,Team Totals,,,
42,20240119,ATL,L,108,109,24,18,L 2,MIA,2024,False,94.9,.537,16.4,31.0,.244,113.9,94.9,.546,13.7,22.5,.161,114.9,Bam Adebayo,Jimmy Butler,Tyler Herro,Caleb Martin,Nikola Jović,Kyle Lowry,Duncan Robinson,Josh Richardson,Kevin Love,Haywood Highsmith,Thomas Bryant,Orlando Robinson,Cole Swider,Team Totals,,,Dejounte Murray,Saddiq Bey,Bogdan Bogdanović,Jalen Johnson,Clint Capela,Onyeka Okongwu,Garrison Mathews,Patty Mills,Trent Forrest,Bruno Fernando,AJ Griffin,Seth Lundy,Team Totals,,,
43,20240121,ORL,L,87,105,24,19,L 3,MIA,2024,False,89.6,.450,17.0,27.3,.188,97.1,87.6,.532,13.4,33.3,.282,119.9,Bam Adebayo,Tyler Herro,Caleb Martin,Jimmy Butler,Nikola Jović,Kyle Lowry,Haywood Highsmith,Duncan Robinson,Kevin Love,Josh Richardson,Orlando Robinson,Thomas Bryant,Team Totals,,,,Wendell Carter Jr.,Paolo Banchero,Markelle Fultz,Jalen Suggs,Franz Wagner,Joe Ingles,Cole Anthony,Anthony Black,Jonathan Isaac,Moritz Wagner,Caleb Houstan,Jett Howard,Chuma Okeke,Trevelin Queen,Goga Bitadze,Team Totals
44,20240124,MEM,L,96,105,24,20,L 4,MIA,2024,False,97.2,.470,15.5,22.9,.232,98.8,97.2,.556,16.9,17.5,.200,108.1,Bam Adebayo,Tyler Herro,Jimmy Butler,Haywood Highsmith,Josh Richardson,Terry Rozier,Caleb Martin,Duncan Robinson,Thomas Bryant,Kevin Love,R.J. Hampton,Nikola Jović,Orlando Robinson,Team Totals,,,Jaren Jackson Jr.,Vince Williams Jr.,David Roddy,John Konchar,Jacob Gilyard,GG Jackson II,Scotty Pippen Jr.,Xavier Tillman Sr.,Ziaire Williams,Santi Aldama,Jake LaRavia,Derrick Rose,Team Totals,,,
46,20240127,NYK,L,109,125,24,22,L 6,MIA,2024,False,92.7,.545,7.8,18.6,.148,117.6,92.7,.615,6.6,26.8,.207,134.9,Jimmy Butler,Tyler Herro,Bam Adebayo,Terry Rozier,Haywood Highsmith,Duncan Robinson,Jaime Jaquez Jr.,Caleb Martin,Kevin Love,Nikola Jović,Orlando Robinson,Thomas Bryant,Josh Richardson,Team Totals,,,Jalen Brunson,OG Anunoby,Julius Randle,Donte DiVincenzo,Isaiah Hartenstein,Josh Hart,Precious Achiuwa,Quentin Grimes,Miles McBride,Jericho Sims,Ryan Arcidiacono,Malachi Flynn,Evan Fournier,Team Totals,,
47,20240129,PHO,L,105,118,24,23,L 7,MIA,2024,False,97.0,.476,12.0,17.8,.298,108.3,96.5,.564,7.3,21.7,.128,122.3,Jimmy Butler,Bam Adebayo,Tyler Herro,Terry Rozier,Haywood Highsmith,Jaime Jaquez Jr.,Caleb Martin,Josh Richardson,Kevin Love,Duncan Robinson,Thomas Bryant,Nikola Jović,Team Totals,,,,Kevin Durant,Devin Booker,Bradley Beal,Jusuf Nurkić,Grayson Allen,Eric Gordon,Drew Eubanks,Josh Okogie,Keita Bates-Diop,Udoka Azubuike,Jordan Goodwin,Nassir Little,Chimezie Metu,Yuta Watanabe,Team Totals,
48,20240131,SAC,W,115,106,25,23,W 1,MIA,2024,False,96.0,.577,9.6,17.9,.214,119.8,95.0,.505,8.2,22.2,.129,111.6,Jimmy Butler,Bam Adebayo,Tyler Herro,Terry Rozier,Haywood Highsmith,Caleb Martin,Josh Richardson,Jaime Jaquez Jr.,Kevin Love,Thomas Bryant,Nikola Jović,Cole Swider,Team Totals,,,,Kevin Huerter,Keegan Murray,Domantas Sabonis,De'Aaron Fox,Harrison Barnes,Trey Lyles,Malik Monk,Davion Mitchell,JaVale McGee,Kessler Edwards,Chris Duarte,Keon Ellis,Colby Jones,Alex Len,Team Totals,
49,20240202,WAS,W,110,102,26,23,W 2,MIA,2024,False,99.5,.472,10.4,27.5,.307,110.5,100.0,.472,8.3,11.8,.189,102.0,Jimmy Butler,Bam Adebayo,Tyler Herro,Terry Rozier,Haywood Highsmith,Caleb Martin,Jaime Jaquez Jr.,Josh Richardson,Kevin Love,Thomas Bryant,Nikola Jović,Orlando Robinson,Cole Swider,Team Totals,,,Kyle Kuzma,Deni Avdija,Jordan Poole,Daniel Gafford,Tyus Jones,Corey Kispert,Bilal Coulibaly,Landry Shamet,Delon Wright,Johnny Davis,Anthony Gill,Patrick Baldwin Jr.,Jules Bernard,Eugene Omoruyi,Team Totals,
50,20240204,LAC,L,95,103,26,24,L 1,MIA,2024,False,91.7,.462,9.4,23.5,.121,103.6,92.7,.545,16.4,21.4,.247,111.1,Terry Rozier,Jimmy Butler,Bam Adebayo,Josh Richardson,Haywood Highsmith,Caleb Martin,Jaime Jaquez Jr.,Kevin Love,Thomas Bryant,Tyler Herro,Nikola Jović,Orlando Robinson,Cole Swider,Team Totals,,,James Harden,Kawhi Leonard,Paul George,Terance Mann,Ivica Zubac,Norman Powell,Mason Plumlee,Amir Coffey,Russell Westbrook,Brandon Boston Jr.,Kobe Brown,Bones Hyland,Daniel Theis,P.J. Tucker,Team Totals,
51,20240206,ORL,W,121,95,27,24,W 1,MIA,2024,False,96.6,.615,12.0,26.2,.161,125.2,96.6,.500,16.8,19.0,.188,98.3,Jimmy Butler,Terry Rozier,Bam Adebayo,Tyler Herro,Caleb Martin,Josh Richardson,Jaime Jaquez Jr.,Duncan Robinson,Kevin Love,Orlando Robinson,Haywood Highsmith,Thomas Bryant,Nikola Jović,Team Totals,,,Franz Wagner,Paolo Banchero,Wendell Carter Jr.,Jalen Suggs,Markelle Fultz,Gary Harris,Moritz Wagner,Joe Ingles,Cole Anthony,Jonathan Isaac,Chuma Okeke,Goga Bitadze,Anthony Black,Caleb Houstan,Team Totals,
52,20240207,SAS,W,116,104,28,24,W 2,MIA,2024,False,103.0,.563,10.2,11.1,.207,112.7,103.0,.522,13.3,13.0,.111,101.0,Jimmy Butler,Tyler Herro,Bam Adebayo,Terry Rozier,Caleb Martin,Jaime Jaquez Jr.,Josh Richardson,Duncan Robinson,Kevin Love,Orlando Robinson,Nikola Jović,Thomas Bryant,Team Totals,,,,Devin Vassell,Tre Jones,Jeremy Sochan,Victor Wembanyama,Julian Champagnie,Keldon Johnson,Cedi Osman,Zach Collins,Blake Wesley,Doug McDermott,Malaki Branham,Sandro Mamukelashvili,Devonte' Graham,Team Totals,,
54,20240213,MIL,W,123,97,29,25,W 1,MIA,2024,False,100.1,.626,12.9,17.5,.161,122.8,100.1,.524,17.0,11.1,.120,96.9,Bam Adebayo,Nikola Jović,Tyler Herro,Duncan Robinson,Caleb Martin,Jaime Jaquez Jr.,Kevin Love,Haywood Highsmith,Jamal Cain,Alondes Williams,Cole Swider,Orlando Robinson,Thomas Bryant,Team Totals,,,Giannis Antetokounmpo,Damian Lillard,Malik Beasley,Brook Lopez,Jae Crowder,Bobby Portis,Pat Connaughton,A.J. Green,Patrick Beverley,MarJon Beauchamp,Thanasis Antetokounmpo,Andre Jackson Jr.,TyTy Washington Jr.,Chris Livingston,Team Totals,
55,20240214,PHI,W,109,104,30,25,W 2,MIA,2024,False,97.3,.540,12.1,23.3,.159,112.1,97.3,.535,13.1,15.4,.140,106.9,Bam Adebayo,Tyler Herro,Duncan Robinson,Caleb Martin,Nikola Jović,Haywood Highsmith,Jaime Jaquez Jr.,Kevin Love,Jamal Cain,Thomas Bryant,Orlando Robinson,Cole Swider,Alondes Williams,Team Totals,,,Buddy Hield,Tyrese Maxey,Paul Reed,Kelly Oubre Jr.,KJ Martin,Ricky Council IV,Cameron Payne,Mo Bamba,Terquavion Smith,Nicolas Batum,Kenneth Lofton Jr.,Team Totals,,,,
56,20240223,NOP,W,106,95,31,25,W 3,MIA,2024,False,96.9,.543,13.9,21.7,.207,109.4,96.4,.409,9.1,33.3,.096,98.6,Bam Adebayo,Caleb Martin,Tyler Herro,Jimmy Butler,Nikola Jović,Duncan Robinson,Jaime Jaquez Jr.,Haywood Highsmith,Kevin Love,Thomas Bryant,Cole Swider,Alondes Williams,Delon Wright,Team Totals,,,Herbert Jones,Zion Williamson,Trey Murphy III,Jonas Valančiūnas,CJ McCollum,Jeremiah Robinson-Earl,Jordan Hawkins,Jose Alvarado,Larry Nance Jr.,Naji Marshall,Matt Ryan,Cody Zeller,Team Totals,,,
57,20240226,SAC,W,121,110,32,25,W 4,MIA,2024,False,94.9,.580,10.1,25.0,.230,127.5,94.9,.606,14.2,27.5,.082,115.9,Caleb Martin,Duncan Robinson,Jaime Jaquez Jr.,Bam Adebayo,Delon Wright,Haywood Highsmith,Kevin Love,Cole Swider,Alondes Williams,Thomas Bryant,Jimmy Butler,Jamal Cain,Nikola Jović,Team Totals,,,Domantas Sabonis,De'Aaron Fox,Kevin Huerter,Keegan Murray,Harrison Barnes,Trey Lyles,Malik Monk,Chris Duarte,Davion Mitchell,Kessler Edwards,Keon Ellis,Colby Jones,Mason Jones,Alex Len,JaVale McGee,Team Totals
