,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
3056,11,20221109,MIN,W,129,117,8,3,1,PHO,2023,False,101.6,0.567,9.4,25.0,0.196,127.0,101.6,0.583,17.1,23.5,0.333,115.2,"['Mikal Bridges', 'Devin Booker', 'Cameron Payne', 'Deandre Ayton', 'Torrey Craig']","['Landry Shamet', 'Damion Lee', 'Dario Šarić', 'Jock Landale', 'Josh Okogie', 'Bismack Biyombo', 'Chris Paul', 'Duane Washington Jr.']","['Jaden McDaniels', 'Anthony Edwards', ""D'Angelo Russell"", 'Rudy Gobert', 'Karl-Anthony Towns']","['Jaylen Nowell', 'Kyle Anderson', 'Taurean Prince', 'Jordan McLaughlin', 'Nathan Knight', 'Bryn Forbes', 'Naz Reid', 'Austin Rivers']"
3057,13,20221114,MIA,L,112,113,8,5,-2,PHO,2023,False,89.4,0.556,12.2,44.4,0.02,125.2,89.4,0.548,13.8,40.5,0.265,126.4,"['Devin Booker', 'Mikal Bridges', 'Deandre Ayton', 'Torrey Craig', 'Cameron Payne']","['Damion Lee', 'Duane Washington Jr.', 'Jock Landale', 'Josh Okogie', 'Bismack Biyombo', 'Chris Paul', 'Dario Šarić', 'Ish Wainright']","['Kyle Lowry', 'Caleb Martin', 'Bam Adebayo', 'Max Strus', 'Jimmy Butler']","['Gabe Vincent', 'Duncan Robinson', 'Dewayne Dedmon', 'Jamal Cain', 'Udonis Haslem', 'Haywood Highsmith', 'Nikola Jović']"
3058,14,20221116,GSW,W,130,119,9,5,1,PHO,2023,False,106.1,0.634,14.2,19.0,0.244,122.6,106.1,0.554,14.6,13.3,0.185,112.2,"['Mikal Bridges', 'Devin Booker', 'Cameron Payne', 'Deandre Ayton', 'Torrey Craig']","['Damion Lee', 'Jock Landale', 'Duane Washington Jr.', 'Josh Okogie', 'Ish Wainright', 'Chris Paul']","['Stephen Curry', 'Andrew Wiggins', 'Klay Thompson', 'Draymond Green', 'Kevon Looney']","['Jordan Poole', 'Anthony Lamb', 'Donte DiVincenzo', 'JaMychal Green', 'Moses Moody', 'Jonathan Kuminga']"
3059,15,20221118,UTA,L,133,134,9,6,-1,PHO,2023,False,104.9,0.569,11.6,32.4,0.277,126.8,104.9,0.648,14.3,26.8,0.176,127.8,"['Devin Booker', 'Deandre Ayton', 'Mikal Bridges', 'Cameron Payne', 'Torrey Craig']","['Damion Lee', 'Dario Šarić', 'Duane Washington Jr.', 'Jock Landale', 'Josh Okogie', 'Bismack Biyombo', 'Chris Paul', 'Ish Wainright']","['Lauri Markkanen', 'Jordan Clarkson', 'Mike Conley', 'Jarred Vanderbilt', 'Kelly Olynyk']","['Malik Beasley', 'Collin Sexton', 'Walker Kessler', 'Talen Horton-Tucker', 'Simone Fontecchio', 'Nickeil Alexander-Walker', 'Udoka Azubuike']"
3060,17,20221122,LAL,W,115,105,11,6,2,PHO,2023,False,108.7,0.549,12.6,17.4,0.029,105.8,108.7,0.447,14.5,14.6,0.341,96.6,"['Mikal Bridges', 'Devin Booker', 'Deandre Ayton', 'Torrey Craig', 'Cameron Payne']","['Damion Lee', 'Duane Washington Jr.', 'Bismack Biyombo', 'Ish Wainright', 'Josh Okogie', 'Jock Landale', 'Chris Paul', 'Dario Šarić']","['Anthony Davis', 'Lonnie Walker IV', 'Austin Reaves', 'Patrick Beverley', 'Troy Brown Jr.']","['Russell Westbrook', 'Dennis Schröder', 'Thomas Bryant', 'Kendrick Nunn', 'Wenyen Gabriel', 'Damian Jones', 'Matt Ryan']"
3061,18,20221125,DET,W,108,102,12,6,3,PHO,2023,False,96.9,0.523,11.7,26.8,0.195,111.5,96.9,0.473,16.1,37.3,0.163,105.3,"['Devin Booker', 'Mikal Bridges', 'Torrey Craig', 'Cameron Payne', 'Deandre Ayton']","['Damion Lee', 'Bismack Biyombo', 'Duane Washington Jr.', 'Josh Okogie', 'Jock Landale', 'Chris Paul', 'Dario Šarić', 'Ish Wainright']","['Killian Hayes', 'Bojan Bogdanović', 'Marvin Bagley III', 'Isaiah Livers', 'Rodney McGruder']","['Kevin Knox', 'Hamidou Diallo', 'Alec Burks', 'Jalen Duren', 'Nerlens Noel', 'Braxton Key', 'Jaden Ivey']"
3062,19,20221126,UTA,W,113,112,13,6,4,PHO,2023,False,91.5,0.489,5.4,36.0,0.25,123.5,91.5,0.589,11.8,21.1,0.241,122.4,"['Mikal Bridges', 'Devin Booker', 'Deandre Ayton', 'Cameron Payne', 'Torrey Craig']","['Damion Lee', 'Ish Wainright', 'Landry Shamet', 'Bismack Biyombo', 'Jock Landale', 'Duane Washington Jr.', 'Josh Okogie', 'Dario Šarić']","['Lauri Markkanen', 'Jordan Clarkson', 'Kelly Olynyk', 'Collin Sexton', 'Jarred Vanderbilt']","['Malik Beasley', 'Walker Kessler', 'Talen Horton-Tucker', 'Nickeil Alexander-Walker', 'Ochai Agbaji', 'Udoka Azubuike', 'Simone Fontecchio']"
3063,20,20221128,SAC,W,122,117,14,6,5,PHO,2023,False,103.1,0.585,14.5,27.5,0.128,118.3,103.1,0.574,14.3,19.0,0.182,113.4,"['Devin Booker', 'Mikal Bridges', 'Deandre Ayton', 'Torrey Craig', 'Cameron Payne']","['Damion Lee', 'Landry Shamet', 'Duane Washington Jr.', 'Bismack Biyombo', 'Jock Landale', 'Ish Wainright', 'Josh Okogie', 'Dario Šarić']","['Domantas Sabonis', 'Kevin Huerter', ""De'Aaron Fox"", 'Harrison Barnes', 'Keegan Murray']","['Malik Monk', 'Davion Mitchell', 'Terence Davis', 'Chimezie Metu', 'KZ Okpala', 'Matthew Dellavedova', 'Keon Ellis', 'Richaun Holmes', 'Alex Len', 'Neemias Queta']"
3064,21,20221130,CHI,W,132,113,15,6,6,PHO,2023,False,102.7,0.608,12.0,25.0,0.204,128.5,102.7,0.524,11.1,12.2,0.329,110.0,"['Mikal Bridges', 'Cameron Payne', 'Deandre Ayton', 'Devin Booker', 'Torrey Craig']","['Damion Lee', 'Landry Shamet', 'Ish Wainright', 'Jock Landale', 'Bismack Biyombo', 'Duane Washington Jr.', 'Josh Okogie', 'Dario Šarić']","['Zach LaVine', 'DeMar DeRozan', 'Nikola Vučević', 'Patrick Williams', 'Ayo Dosunmu']","['Alex Caruso', 'Coby White', 'Andre Drummond', 'Goran Dragić', 'Derrick Jones Jr.', 'Javonte Green', 'Dalen Terry', 'Tony Bradley']"
3065,22,20221202,HOU,L,121,122,15,7,-1,PHO,2023,False,100.7,0.629,16.2,24.3,0.165,120.1,100.7,0.543,14.5,31.7,0.42,121.1,"['Cameron Payne', 'Mikal Bridges', 'Devin Booker', 'Deandre Ayton', 'Dario Šarić']","['Damion Lee', 'Ish Wainright', 'Landry Shamet', 'Bismack Biyombo', 'Jock Landale', 'Josh Okogie', 'Duane Washington Jr.']","['Jalen Green', 'Kevin Porter Jr.', 'Jabari Smith Jr.', 'Eric Gordon', 'Alperen Sengun']","['KJ Martin', 'Tari Eason', 'Daishen Nix', 'Bruno Fernando', 'Garrison Mathews', 'Usman Garuba', 'Josh Christopher', 'Boban Marjanović']"
3066,23,20221204,SAS,W,133,95,16,7,1,PHO,2023,False,97.8,0.622,9.7,33.3,0.17,136.0,97.8,0.471,16.7,27.9,0.149,97.2,"['Devin Booker', 'Mikal Bridges', 'Deandre Ayton', 'Cameron Payne', 'Dario Šarić']","['Ish Wainright', 'Josh Okogie', 'Damion Lee', 'Jock Landale', 'Landry Shamet', 'Bismack Biyombo', 'Duane Washington Jr.']","['Keldon Johnson', 'Devin Vassell', 'Keita Bates-Diop', 'Tre Jones', 'Zach Collins']","['Malaki Branham', 'Charles Bassey', 'Isaiah Roby', 'Alize Johnson', 'Gorgui Dieng', 'Romeo Langford']"
3067,24,20221205,DAL,L,111,130,16,8,-1,PHO,2023,False,97.2,0.511,11.3,29.5,0.198,114.2,97.2,0.643,12.0,26.3,0.262,133.7,"['Cameron Payne', 'Devin Booker', 'Mikal Bridges', 'Deandre Ayton', 'Ish Wainright']","['Josh Okogie', 'Damion Lee', 'Landry Shamet', 'Dario Šarić', 'Bismack Biyombo', 'Jock Landale']","['Luka Dončić', 'Spencer Dinwiddie', 'Dorian Finney-Smith', 'Tim Hardaway Jr.', 'Dwight Powell']","['Josh Green', 'Christian Wood', 'Maxi Kleber', 'Reggie Bullock', 'Frank Ntilikina', 'Jaden Hardy', 'Dāvis Bertāns', 'Theo Pinson', 'JaVale McGee', 'Kemba Walker']"
3068,25,20221207,BOS,L,98,125,16,9,-2,PHO,2023,False,105.3,0.441,15.1,23.6,0.172,93.1,105.3,0.564,10.9,23.4,0.109,118.7,"['Mikal Bridges', 'Devin Booker', 'Deandre Ayton', 'Chris Paul', 'Torrey Craig']","['Josh Okogie', 'Landry Shamet', 'Cameron Payne', 'Jock Landale', 'Damion Lee', 'Dario Šarić', 'Ish Wainright', 'Bismack Biyombo']","['Jayson Tatum', 'Jaylen Brown', 'Marcus Smart', 'Grant Williams', 'Blake Griffin']","['Luke Kornet', 'Sam Hauser', 'Malcolm Brogdon', 'Derrick White', 'Payton Pritchard', 'Justin Jackson', 'Noah Vonleh']"
3069,28,20221213,HOU,L,97,111,16,12,-5,PHO,2023,False,99.2,0.383,8.2,26.5,0.175,97.7,99.2,0.494,19.3,39.5,0.383,111.8,"['Mikal Bridges', 'Chris Paul', 'Landry Shamet', 'Torrey Craig', 'Deandre Ayton']","['Damion Lee', 'Bismack Biyombo', 'Josh Okogie', 'Jock Landale', 'Cameron Payne', 'Ish Wainright', 'Dario Šarić']","['Jalen Green', 'Kevin Porter Jr.', 'Jabari Smith Jr.', 'Alperen Sengun', 'Eric Gordon']","['KJ Martin', 'Tari Eason', 'Garrison Mathews', 'Daishen Nix', 'Usman Garuba', 'Bruno Fernando', 'Josh Christopher', 'Trevor Hudgins', 'Boban Marjanović', 'TyTy Washington Jr.']"
3070,29,20221215,LAC,W,111,95,17,12,1,PHO,2023,False,94.2,0.511,8.0,32.6,0.147,117.8,94.2,0.444,15.4,35.6,0.167,100.8,"['Mikal Bridges', 'Chris Paul', 'Devin Booker', 'Bismack Biyombo', 'Torrey Craig']","['Jock Landale', 'Josh Okogie', 'Landry Shamet', 'Damion Lee', 'Ish Wainright', 'Dario Šarić']","['Amir Coffey', 'Terance Mann', 'Marcus Morris', 'John Wall', 'Moses Brown']","['Brandon Boston Jr.', 'Robert Covington', 'Jason Preston', 'Moussa Diabaté', 'Nicolas Batum', 'Luke Kennard']"
3071,31,20221219,LAL,W,130,104,19,12,3,PHO,2023,False,95.8,0.602,8.0,34.9,0.194,135.6,95.8,0.517,13.7,21.7,0.161,108.5,"['Damion Lee', 'Chris Paul', 'Torrey Craig', 'Mikal Bridges', 'Deandre Ayton']","['Landry Shamet', 'Ish Wainright', 'Bismack Biyombo', 'Josh Okogie', 'Dario Šarić', 'Devin Booker']","['Lonnie Walker IV', 'Dennis Schröder', 'Thomas Bryant', 'Patrick Beverley', 'Troy Brown Jr.']","['Max Christie', 'Wenyen Gabriel', 'Damian Jones', 'Kendrick Nunn', 'Scotty Pippen Jr.', 'Juan Toscano-Anderson', 'Russell Westbrook']"
3072,32,20221220,WAS,L,110,113,19,13,-1,PHO,2023,False,94.2,0.534,12.6,31.9,0.169,116.8,94.2,0.544,9.4,23.7,0.325,120.0,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Torrey Craig', 'Damion Lee']","['Landry Shamet', 'Ish Wainright', 'Bismack Biyombo', 'Duane Washington Jr.', 'Devin Booker', 'Dario Šarić']","['Kyle Kuzma', 'Monte Morris', 'Deni Avdija', 'Bradley Beal', 'Daniel Gafford']","['Taj Gibson', 'Corey Kispert', 'Will Barton', 'Jordan Goodwin', 'Anthony Gill', 'Kristaps Porziņģis']"
3073,33,20221223,MEM,L,100,125,19,14,-2,PHO,2023,False,98.0,0.489,13.2,24.4,0.172,102.0,98.0,0.533,10.0,44.2,0.308,127.5,"['Landry Shamet', 'Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Torrey Craig']","['Josh Okogie', 'Damion Lee', 'Bismack Biyombo', 'Duane Washington Jr.', 'Ish Wainright', 'Jock Landale', 'Dario Šarić']","['Ja Morant', 'Jaren Jackson Jr.', 'Dillon Brooks', 'Desmond Bane', 'Steven Adams']","['Ziaire Williams', 'Brandon Clarke', 'Santi Aldama', 'John Konchar', 'Tyus Jones', 'David Roddy', 'Jake LaRavia', 'Xavier Tillman Sr.', 'Kennedy Chandler']"
3074,34,20221225,DEN,L,125,128,19,15,-3,PHO,2023,False,96.1,0.569,11.7,25.0,0.191,117.8,96.1,0.548,10.7,26.1,0.266,120.6,"['Chris Paul', 'Mikal Bridges', 'Deandre Ayton', 'Torrey Craig', 'Devin Booker']","['Landry Shamet', 'Damion Lee', 'Bismack Biyombo', 'Ish Wainright', 'Josh Okogie', 'Jock Landale', 'Dario Šarić', 'Duane Washington Jr.']","['Nikola Jokić', 'Jamal Murray', 'Aaron Gordon', 'Kentavious Caldwell-Pope', 'Michael Porter Jr.']","['Bruce Brown', 'Bones Hyland', 'Christian Braun', 'Zeke Nnaji', 'Vlatko Čančar', 'DeAndre Jordan', 'Davon Reed', 'Ish Smith', 'Peyton Watson', 'Jack White']"
3075,35,20221227,MEM,W,125,108,20,15,1,PHO,2023,False,101.1,0.592,18.3,37.5,0.253,123.7,101.1,0.44,12.4,31.9,0.308,106.8,"['Deandre Ayton', 'Mikal Bridges', 'Jock Landale', 'Chris Paul', 'Torrey Craig']","['Damion Lee', 'Ish Wainright', 'Josh Okogie', 'Duane Washington Jr.', 'Bismack Biyombo', 'Dario Šarić']","['Ja Morant', 'Desmond Bane', 'Dillon Brooks', 'Jaren Jackson Jr.', 'Steven Adams']","['Ziaire Williams', 'Brandon Clarke', 'Santi Aldama', 'John Konchar', 'Tyus Jones', 'Xavier Tillman Sr.', 'Kennedy Chandler', 'David Roddy', 'Jake LaRavia']"
3076,36,20221228,WAS,L,102,127,20,16,-1,PHO,2023,False,91.8,0.523,10.5,24.4,0.126,111.1,91.8,0.622,12.1,38.7,0.305,138.4,"['Mikal Bridges', 'Deandre Ayton', 'Chris Paul', 'Torrey Craig', 'Jock Landale']","['Damion Lee', 'Josh Okogie', 'Duane Washington Jr.', 'Ish Wainright', 'Bismack Biyombo', 'Dario Šarić']","['Kyle Kuzma', 'Kristaps Porziņģis', 'Monte Morris', 'Corey Kispert', 'Daniel Gafford']","['Rui Hachimura', 'Deni Avdija', 'Delon Wright', 'Taj Gibson', 'Johnny Davis', 'Vernon Carey Jr.', 'Anthony Gill', 'Jordan Goodwin', 'Will Barton']"
3077,37,20221230,TOR,L,104,113,20,17,-2,PHO,2023,False,95.6,0.592,25.0,28.1,0.282,108.8,95.6,0.562,11.5,19.5,0.272,118.2,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Torrey Craig', 'Josh Okogie']","['Ish Wainright', 'Damion Lee', 'Dario Šarić', 'Jock Landale', 'Duane Washington Jr.', 'Bismack Biyombo']","['Pascal Siakam', 'Gary Trent Jr.', 'Scottie Barnes', 'OG Anunoby', 'Christian Koloko']","['Thaddeus Young', 'Chris Boucher', 'Malachi Flynn', 'Juancho Hernangómez', 'Jeff Dowtin', 'Precious Achiuwa', 'Khem Birch']"
3078,39,20230104,CLE,L,88,90,20,19,-4,PHO,2023,False,94.1,0.457,14.4,17.0,0.173,93.5,94.1,0.461,14.7,14.6,0.247,95.7,"['Chris Paul', 'Deandre Ayton', 'Landry Shamet', 'Mikal Bridges', 'Dario Šarić']","['Torrey Craig', 'Damion Lee', 'Ish Wainright', 'Bismack Biyombo', 'Cameron Payne', 'Duane Washington Jr.', 'Jock Landale', 'Josh Okogie']","['Caris LeVert', 'Donovan Mitchell', 'Jarrett Allen', 'Evan Mobley', 'Isaac Okoro']","['Cedi Osman', 'Kevin Love', 'Raul Neto', 'Lamar Stevens', 'Robin Lopez', 'Isaiah Mobley']"
3079,40,20230106,MIA,L,96,104,20,20,-5,PHO,2023,False,96.6,0.451,13.1,20.0,0.268,99.4,96.6,0.5,12.4,12.2,0.333,107.6,"['Mikal Bridges', 'Deandre Ayton', 'Torrey Craig', 'Landry Shamet', 'Chris Paul']","['Duane Washington Jr.', 'Damion Lee', 'Ish Wainright', 'Jock Landale', 'Josh Okogie', 'Bismack Biyombo', 'Dario Šarić']","['Bam Adebayo', 'Max Strus', 'Jimmy Butler', 'Kyle Lowry', 'Haywood Highsmith']","['Victor Oladipo', 'Gabe Vincent', 'Dewayne Dedmon', 'Udonis Haslem', 'Tyler Herro', 'Orlando Robinson']"
3080,41,20230108,CLE,L,98,112,20,21,-6,PHO,2023,False,96.4,0.524,15.3,14.3,0.119,101.7,96.4,0.647,14.1,9.1,0.141,116.2,"['Mikal Bridges', 'Landry Shamet', 'Deandre Ayton', 'Dario Šarić', 'Torrey Craig']","['Damion Lee', 'Duane Washington Jr.', 'Jock Landale', 'Ish Wainright', 'Josh Okogie', 'Bismack Biyombo']","['Darius Garland', 'Evan Mobley', 'Donovan Mitchell', 'Jarrett Allen', 'Isaac Okoro']","['Caris LeVert', 'Kevin Love', 'Lamar Stevens', 'Cedi Osman', 'Raul Neto', 'Mamadi Diakite', 'Robin Lopez']"
3081,42,20230110,GSW,W,125,113,21,21,1,PHO,2023,False,104.4,0.533,17.5,39.6,0.322,119.8,104.4,0.479,13.6,29.6,0.219,108.3,"['Mikal Bridges', 'Torrey Craig', 'Dario Šarić', 'Duane Washington Jr.', 'Bismack Biyombo']","['Damion Lee', 'Josh Okogie', 'Jock Landale', 'Ish Wainright', 'Deandre Ayton', 'Landry Shamet']","['Klay Thompson', 'Draymond Green', 'Stephen Curry', 'Andrew Wiggins', 'Kevon Looney']","['Jordan Poole', 'Donte DiVincenzo', 'Anthony Lamb', 'Andre Iguodala', 'Ty Jerome', 'Patrick Baldwin Jr.', 'Moses Moody']"
3082,43,20230111,DEN,L,97,126,21,22,-1,PHO,2023,False,97.3,0.483,17.2,32.6,0.111,99.7,97.3,0.653,10.5,19.4,0.176,129.6,"['Mikal Bridges', 'Dario Šarić', 'Duane Washington Jr.', 'Torrey Craig', 'Bismack Biyombo']","['Josh Okogie', 'Damion Lee', 'Jock Landale', 'Ish Wainright', 'Saben Lee', 'Deandre Ayton', 'Landry Shamet']","['Nikola Jokić', 'Kentavious Caldwell-Pope', 'Jamal Murray', 'Aaron Gordon', 'Michael Porter Jr.']","['Bruce Brown', 'Bones Hyland', 'Zeke Nnaji', 'Vlatko Čančar', 'Christian Braun', 'Ish Smith', 'Davon Reed', 'Jack White', 'DeAndre Jordan']"
3083,44,20230113,MIN,L,116,121,21,23,-2,PHO,2023,False,106.2,0.558,16.4,21.4,0.233,109.2,106.2,0.578,13.2,10.5,0.189,113.9,"['Mikal Bridges', 'Torrey Craig', 'Deandre Ayton', 'Duane Washington Jr.', 'Dario Šarić']","['Damion Lee', 'Josh Okogie', 'Ish Wainright', 'Saben Lee', 'Jock Landale', 'Bismack Biyombo']","['Anthony Edwards', 'Jaden McDaniels', ""D'Angelo Russell"", 'Rudy Gobert', 'Kyle Anderson']","['Austin Rivers', 'Taurean Prince', 'Naz Reid', 'Jaylen Nowell', 'Bryn Forbes', 'Luka Garza', 'Nathan Knight', 'Wendell Moore Jr.', 'Matt Ryan']"
3084,45,20230116,MEM,L,106,136,21,24,-3,PHO,2023,False,101.4,0.494,13.3,19.1,0.202,104.6,101.4,0.612,9.3,31.7,0.163,134.2,"['Deandre Ayton', 'Mikal Bridges', 'Landry Shamet', 'Torrey Craig', 'Dario Šarić']","['Saben Lee', 'Damion Lee', 'Ish Wainright', 'Jock Landale', 'Bismack Biyombo', 'Josh Okogie', 'Duane Washington Jr.']","['Ja Morant', 'Desmond Bane', 'Jaren Jackson Jr.', 'Steven Adams', 'Dillon Brooks']","['Santi Aldama', 'Tyus Jones', 'David Roddy', 'Brandon Clarke', 'Ziaire Williams', 'Xavier Tillman Sr.', 'Kennedy Chandler', 'Jake LaRavia']"
3085,46,20230119,BRK,W,117,112,22,24,1,PHO,2023,False,103.4,0.524,13.4,27.3,0.329,113.1,103.4,0.591,12.3,5.1,0.183,108.3,"['Mikal Bridges', 'Damion Lee', 'Deandre Ayton', 'Torrey Craig', 'Dario Šarić']","['Saben Lee', 'Ish Wainright', 'Cameron Johnson', 'Bismack Biyombo', 'Duane Washington Jr.', 'Jock Landale']","['Kyrie Irving', 'Nic Claxton', ""Royce O'Neale"", 'Joe Harris', 'Ben Simmons']","['Seth Curry', 'Yuta Watanabe', 'Cam Thomas', 'T.J. Warren', 'Markieff Morris', ""Day'Ron Sharpe"", 'Patty Mills', 'Edmond Sumner']"
3086,47,20230121,IND,W,112,107,23,24,2,PHO,2023,False,106.1,0.484,12.4,27.5,0.264,105.5,106.1,0.443,12.3,21.2,0.229,100.8,"['Mikal Bridges', 'Bismack Biyombo', 'Damion Lee', 'Torrey Craig', 'Dario Šarić']","['Josh Okogie', 'Saben Lee', 'Ish Wainright', 'Duane Washington Jr.', 'Jock Landale', 'Deandre Ayton', 'Cameron Johnson']","['T.J. McConnell', 'Myles Turner', 'Buddy Hield', 'Aaron Nesmith', 'Andrew Nembhard']","['Bennedict Mathurin', 'Chris Duarte', 'Jalen Smith', 'Oshae Brissett', 'Goga Bitadze', 'Isaiah Jackson', 'James Johnson', 'Trevelin Queen', 'Terry Taylor']"
3087,48,20230122,MEM,W,112,110,24,24,3,PHO,2023,False,106.7,0.517,14.7,14.0,0.239,104.9,106.7,0.495,16.1,30.6,0.207,103.1,"['Mikal Bridges', 'Chris Paul', 'Torrey Craig', 'Cameron Johnson', 'Bismack Biyombo']","['Jock Landale', 'Dario Šarić', 'Damion Lee', 'Josh Okogie', 'Saben Lee', 'Ish Wainright', 'Deandre Ayton', 'Duane Washington Jr.']","['Ja Morant', 'Desmond Bane', 'Steven Adams', 'Dillon Brooks', 'Jaren Jackson Jr.']","['Ziaire Williams', 'Tyus Jones', 'Brandon Clarke', 'Santi Aldama', 'John Konchar', 'Kennedy Chandler', 'Jake LaRavia', 'David Roddy', 'Xavier Tillman Sr.']"
3088,49,20230124,CHO,W,128,97,25,24,4,PHO,2023,False,102.7,0.617,15.3,33.3,0.128,124.6,102.7,0.438,11.9,20.0,0.135,94.4,"['Bismack Biyombo', 'Mikal Bridges', 'Chris Paul', 'Torrey Craig', 'Cameron Johnson']","['Dario Šarić', 'Josh Okogie', 'Saben Lee', 'Damion Lee', 'Jock Landale', 'Duane Washington Jr.', 'Ish Wainright', 'Deandre Ayton']","['Terry Rozier', 'Jalen McDaniels', 'P.J. Washington', 'Mason Plumlee', 'Bryce McGowens']","['Dennis Smith Jr.', 'Théo Maledon', 'Nick Richards', 'JT Thor', 'Mark Williams', 'Kai Jones', 'James Bouknight']"
3089,50,20230126,DAL,L,95,99,25,25,-1,PHO,2023,False,88.3,0.483,8.8,26.5,0.14,107.6,88.3,0.513,9.2,15.9,0.26,112.1,"['Mikal Bridges', 'Chris Paul', 'Cameron Johnson', 'Deandre Ayton', 'Torrey Craig']","['Damion Lee', 'Ish Wainright', 'Bismack Biyombo', 'Josh Okogie', 'Duane Washington Jr.', 'Jock Landale', 'Saben Lee', 'Dario Šarić']","['Spencer Dinwiddie', 'Tim Hardaway Jr.', 'Dwight Powell', 'Dorian Finney-Smith', 'Luka Dončić']","['Josh Green', 'Reggie Bullock', 'Dāvis Bertāns', 'Frank Ntilikina', 'Jaden Hardy', 'JaVale McGee', 'Theo Pinson', 'McKinley Wright IV']"
3090,51,20230128,SAS,W,128,118,26,25,1,PHO,2023,False,95.9,0.524,7.3,32.1,0.194,120.9,95.9,0.486,10.0,32.7,0.11,111.5,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Cameron Johnson', 'Torrey Craig']","['Dario Šarić', 'Damion Lee', 'Bismack Biyombo', 'Saben Lee', 'Josh Okogie', 'Jock Landale', 'Ish Wainright', 'Duane Washington Jr.']","['Keldon Johnson', 'Jeremy Sochan', 'Jakob Poeltl', 'Keita Bates-Diop', 'Tre Jones']","['Stanley Johnson', 'Malaki Branham', 'Doug McDermott', 'Zach Collins', 'Blake Wesley', 'Gorgui Dieng', 'Isaiah Roby']"
3091,52,20230130,TOR,W,114,106,27,25,2,PHO,2023,False,92.2,0.557,11.1,31.7,0.195,123.6,92.2,0.5,12.6,35.6,0.191,114.9,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Torrey Craig', 'Cameron Johnson']","['Ish Wainright', 'Damion Lee', 'Dario Šarić', 'Jock Landale', 'Saben Lee', 'Bismack Biyombo', 'Josh Okogie', 'Duane Washington Jr.']","['Fred VanVleet', 'Pascal Siakam', 'Gary Trent Jr.', 'Scottie Barnes', 'Precious Achiuwa']","['Chris Boucher', 'Thaddeus Young', 'Juancho Hernangómez', 'Malachi Flynn', 'Christian Koloko', 'Dalano Banton', 'Khem Birch', 'Jeff Dowtin', 'Ron Harper Jr.']"
3092,53,20230201,ATL,L,100,132,27,26,-1,PHO,2023,False,101.2,0.43,13.8,23.5,0.302,98.8,101.2,0.676,11.1,15.8,0.099,130.5,"['Mikal Bridges', 'Deandre Ayton', 'Chris Paul', 'Torrey Craig', 'Cameron Johnson']","['Dario Šarić', 'Saben Lee', 'Damion Lee', 'Ish Wainright', 'Josh Okogie', 'Jock Landale', 'Bismack Biyombo']","['Dejounte Murray', 'Trae Young', ""De'Andre Hunter"", 'John Collins', 'Clint Capela']","['Bogdan Bogdanović', 'Onyeka Okongwu', 'AJ Griffin', 'Jalen Johnson', 'Aaron Holiday', 'Trent Forrest', 'Justin Holiday', 'Frank Kaminsky', 'Vit Krejci']"
3093,54,20230203,BOS,W,106,94,28,26,1,PHO,2023,False,98.6,0.495,8.2,20.0,0.126,107.5,98.6,0.453,14.5,6.5,0.347,95.3,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Dario Šarić', 'Torrey Craig']","['Ish Wainright', 'Damion Lee', 'Saben Lee', 'Jock Landale', 'Bismack Biyombo', 'Cameron Johnson', 'Josh Okogie']","['Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Al Horford', 'Robert Williams']","['Grant Williams', 'Malcolm Brogdon', 'Payton Pritchard', 'Luke Kornet', 'Sam Hauser', 'Justin Jackson', 'Blake Griffin']"
3094,55,20230204,DET,W,116,100,29,26,2,PHO,2023,False,94.5,0.633,16.1,32.3,0.28,122.8,94.5,0.531,15.0,20.0,0.173,105.8,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Torrey Craig', 'Cameron Johnson']","['Dario Šarić', 'Ish Wainright', 'Damion Lee', 'Saben Lee', 'Jock Landale', 'Bismack Biyombo', 'Josh Okogie']","['Isaiah Stewart', 'Bojan Bogdanović', 'Jaden Ivey', 'Jalen Duren', 'Alec Burks']","['Saddiq Bey', 'Killian Hayes', 'Hamidou Diallo', 'Isaiah Livers', 'Kevin Knox', 'Rodney McGruder', 'Nerlens Noel']"
